geo,population_aged_15_19_years_male_percent,time
nzl,5.952,2045
nzl,5.818,2050
nic,10.87,1950
nic,10.55,1955
nic,10.17,1960
nic,9.214,1965
nic,11.42,1970
nic,11.79,1975
nic,10.93,1980
nic,10.73,1985
nic,11.15,1990
nic,11.5,1995
nic,12.01,2000
nic,11.56,2005
nic,11.59,2010
nic,10.59,2015
nic,9.551,2020
nic,9.334,2025
nic,8.981,2030
nic,8.493,2035
nic,7.927,2040
nic,7.449,2045
nic,7.059,2050
ner,10.9,1950
ner,11.21,1955
ner,11.5,1960
ner,10.28,1965
ner,10.24,1970
ner,9.826,1975
ner,8.709,1980
ner,10.88,1985
ner,9.0,1990
ner,10.76,1995
ner,9.655,2000
ner,10.06,2005
ner,9.974,2010
ner,10.16,2015
ner,10.4,2020
ner,11.47,2025
ner,11.25,2030
ner,11.06,2035
ner,11.03,2040
ner,11.15,2045
ner,11.16,2050
nga,10.22,1950
nga,10.25,1955
nga,10.19,1960
nga,9.89,1965
nga,10.3,1970
nga,10.28,1975
nga,10.11,1980
nga,9.924,1985
nga,10.33,1990
nga,10.91,1995
nga,11.09,2000
nga,10.93,2005
nga,10.79,2010
nga,10.81,2015
nga,10.99,2020
nga,11.12,2025
nga,10.79,2030
nga,10.2,2035
nga,9.604,2040
nga,9.195,2045
nga,8.924,2050
nor,6.432,1950
nor,6.276,1955
nor,7.511,1960
nor,8.787,1965
nor,8.035,1970
nor,7.944,1975
nor,7.951,1980
nor,8.362,1985
nor,7.674,1990
nor,6.395,1995
nor,6.129,2000
nor,6.609,2005
nor,6.954,2010
nor,6.611,2015
nor,6.127,2020
nor,6.087,2025
nor,5.81,2030
nor,5.824,2035
nor,5.932,2040
nor,5.903,2045
nor,5.781,2050
omn,10.39,1950
omn,10.28,1955
omn,10.43,1960
omn,10.79,1965
omn,11.41,1970
omn,10.58,1975
omn,9.44,1980
omn,8.727,1985
omn,8.195,1990
omn,8.119,1995
omn,9.209,2000
omn,9.489,2005
omn,9.041,2010
omn,8.796,2015
omn,7.712,2020
omn,7.432,2025
omn,7.594,2030
omn,7.513,2035
omn,7.217,2040
omn,6.8,2045
omn,6.423,2050
pak,8.333,1950
pak,8.643,1955
pak,9.133,1960
pak,8.824,1965
pak,9.094,1970
pak,9.196,1975
pak,9.48,1980
pak,10.1,1985
pak,10.24,1990
pak,10.21,1995
pak,10.81,2000
pak,11.54,2005
pak,10.75,2010
