geo,imports_unit_value_index_2000100,time
pyf,160.9,2005
pyf,154.8,2006
pyf,173.1,2007
pyf,201.4,2008
gab,70.77,1980
gab,88.55,1981
gab,91.13,1982
gab,71.99,1983
gab,76.04,1984
gab,89.81,1985
gab,91.02,1986
gab,76.92,1987
gab,83.15,1988
gab,80.57,1989
gab,96.48,1990
gab,87.68,1991
gab,73.52,1992
gab,88.8,1993
gab,79.49,1994
gab,92.66,1995
gab,100.5,1996
gab,116.0,1997
gab,115.9,1998
gab,88.4,1999
gab,100.0,2000
gab,105.2,2001
gab,98.98,2002
gab,109.6,2003
gab,127.7,2004
gab,154.7,2005
gab,181.2,2006
gab,231.2,2007
gab,267.9,2008
gmb,88.32,1980
gmb,67.28,1981
gmb,55.12,1982
gmb,61.63,1983
gmb,53.52,1984
gmb,49.84,1985
gmb,55.72,1986
gmb,67.91,1987
gmb,73.44,1988
gmb,86.06,1989
gmb,100.3,1990
gmb,107.7,1991
gmb,116.6,1992
gmb,139.0,1993
gmb,113.3,1994
gmb,97.52,1995
gmb,138.1,1996
gmb,148.5,1997
gmb,122.0,1998
gmb,102.7,1999
gmb,100.0,2000
gmb,71.66,2001
gmb,85.35,2002
gmb,83.4,2003
gmb,122.4,2004
gmb,126.7,2005
gmb,138.7,2006
gmb,163.1,2007
gmb,176.2,2008
gha,37.97,1980
gha,37.2,1981
gha,23.72,1982
gha,84.54,1983
gha,20.44,1984
gha,29.12,1985
gha,35.17,1986
gha,38.9,1987
gha,30.46,1988
gha,42.92,1989
gha,40.33,1990
gha,35.5,1991
gha,72.97,1992
gha,132.6,1993
gha,70.94,1994
gha,64.1,1995
gha,70.88,1996
gha,78.21,1997
gha,86.17,1998
gha,117.0,1999
gha,100.0,2000
gha,106.0,2001
gha,91.45,2002
gha,107.9,2003
gha,137.0,2004
gha,179.8,2005
gha,227.1,2006
gha,271.2,2007
gha,345.0,2008
grc,17.55,1980
grc,17.72,1981
grc,18.78,1982
grc,18.88,1983
grc,18.38,1984
grc,21.01,1985
grc,25.36,1986
grc,35.42,1987
grc,28.98,1988
grc,38.34,1989
grc,49.7,1990
grc,55.85,1991
grc,69.32,1992
grc,70.93,1993
grc,77.25,1994
grc,93.72,1995
grc,100.4,1996
grc,91.68,1997
grc,109.0,1998
grc,118.7,1999
grc,100.0,2000
grd,20.44,1980
grd,22.12,1981
grd,22.98,1982
grd,23.29,1983
grd,22.78,1984
grd,28.2,1985
grd,32.93,1986
grd,36.26,1987
grd,37.53,1988
grd,40.32,1989
grd,43.26,1990
grd,50.33,1991
grd,43.39,1992
grd,48.19,1993
grd,48.34,1994
grd,50.26,1995
grd,61.9,1996
grd,70.5,1997
grd,81.37,1998
grd,86.8,1999
grd,100.0,2000
grd,88.85,2001
grd,83.26,2002
grd,106.1,2003
grd,104.9,2004
grd,139.9,2005
grd,125.2,2006
grd,152.9,2007
grd,152.1,2008
gtm,33.36,1980
gtm,35.24,1981
gtm,28.97,1982
gtm,23.5,1983
gtm,26.69,1984
gtm,24.52,1985
gtm,20.01,1986
gtm,30.21,1987
gtm,32.5,1988
gtm,34.52,1989
gtm,34.42,1990
gtm,38.64,1991
gtm,52.84,1992
gtm,54.25,1993
gtm,58.06,1994
gtm,63.67,1995
gtm,60.84,1996
gtm,74.48,1997
gtm,89.94,1998
gtm,88.18,1999
gtm,100.0,2000
gtm,108.4,2001
gtm,148.1,2002
gtm,157.2,2003
gtm,183.3,2004
gtm,203.0,2005
gtm,230.4,2006
gtm,262.5,2007
gtm,281.3,2008
gin,44.09,1980
gin,60.31,1981
gin,48.91,1982
gin,41.72,1983
gin,50.66,1984
gin,60.79,1985
gin,55.93,1986
gin,73.31,1987
gin,97.79,1988
gin,101.7,1989
gin,114.1,1990
gin,112.8,1991
gin,120.8,1992
gin,121.8,1993
gin,109.4,1994
gin,133.7,1995
gin,105.8,1996
gin,101.3,1997
gin,87.68,1998
gin,90.84,1999
gin,100.0,2000
gin,98.2,2001
gin,109.0,2002
gin,104.6,2003
gin,112.7,2004
gin,134.0,2005
gin,147.1,2006
gin,194.4,2007
gin,261.4,2008
guy,60.64,1980
