population_growth_annual_percent,geo,time
0.9144,dma,1979
0.5192,dma,1980
0.08229,dma,1981
-0.2763,dma,1982
-0.559,dma,1983
-0.7183,dma,1984
-0.7778,dma,1985
-0.8387,dma,1986
-0.9038,dma,1987
-0.8674,dma,1988
-0.6994,dma,1989
-0.4417,dma,1990
-0.1185,dma,1991
0.1692,dma,1992
0.3081,dma,1993
0.2371,dma,1994
0.01962,dma,1995
-0.2525,dma,1996
-0.476,dma,1997
-0.6045,dma,1998
-0.5925,dma,1999
-0.474,dma,2000
-0.3235,dma,2001
-0.2105,dma,2002
-0.1458,dma,2003
-0.1634,dma,2004
-0.2348,dma,2005
-0.327,dma,2006
-0.3879,dma,2007
-0.4027,dma,2008
-0.3483,dma,2009
-0.2432,dma,2010
-0.1211,dma,2011
3.365,dom,1960
3.342,dom,1961
3.308,dom,1962
3.264,dom,1963
3.208,dom,1964
3.145,dom,1965
3.079,dom,1966
3.012,dom,1967
2.946,dom,1968
2.881,dom,1969
2.817,dom,1970
2.756,dom,1971
2.695,dom,1972
2.634,dom,1973
2.573,dom,1974
2.513,dom,1975
2.454,dom,1976
2.399,dom,1977
2.357,dom,1978
2.328,dom,1979
2.309,dom,1980
2.292,dom,1981
2.273,dom,1982
2.25,dom,1983
2.22,dom,1984
2.187,dom,1985
2.151,dom,1986
2.116,dom,1987
2.083,dom,1988
2.054,dom,1989
2.024,dom,1990
1.998,dom,1991
1.967,dom,1992
1.925,dom,1993
1.868,dom,1994
1.802,dom,1995
1.734,dom,1996
1.673,dom,1997
1.623,dom,1998
1.591,dom,1999
1.57,dom,2000
1.551,dom,2001
