geo,medical_doctors_per_1000_people,time
gum,1.187,1986
gum,1.084,1999
gtm,0.1842,1960
gtm,0.2711,1965
gtm,0.2737,1970
gtm,0.4697,1984
gtm,0.2603,1988
gtm,0.78,1990
gtm,0.2501,1993
gtm,1.1,1995
gtm,0.933,1997
gtm,0.9,1999
gin,0.03635,1960
gin,0.02179,1965
gin,0.0197,1970
gin,0.022,1981
gin,0.0215,1982
gin,0.0257,1985
gin,0.1343,1990
gin,0.1522,1994
gin,0.13,1995
gin,0.094,2000
gin,0.11,2004
gin,0.1,2005
gnb,0.04488,1960
gnb,0.0515,1970
gnb,0.1415,1980
gnb,0.1444,1985
gnb,0.1766,1994
gnb,0.166,1996
gnb,0.12,2004
gnb,0.045,2008
guy,0.2548,1960
guy,0.2355,1970
guy,0.2493,1975
guy,0.165,1984
guy,0.1684,1985
guy,0.17,1990
guy,0.1118,1993
guy,0.33,1995
guy,0.181,1997
guy,0.48,2000
hti,0.1052,1960
hti,0.06976,1965
hti,0.0799,1970
hti,0.0807,1975
hti,0.1101,1981
hti,0.1408,1984
hti,0.137,1985
hti,0.1427,1988
hti,0.08,1990
hti,0.084,1992
hti,0.0921,1993
hti,0.16,1995
hti,0.25,1998
hnd,0.08131,1960
hnd,0.1902,1965
hnd,0.2685,1970
hnd,0.269,1975
hnd,0.3307,1979
hnd,0.3324,1981
hnd,0.6906,1984
hnd,0.8291,1988
hnd,0.7,1990
hnd,0.4107,1991
hnd,0.65,1995
hnd,0.832,1997
hnd,0.57,2000
hkg,0.3267,1960
hkg,0.3963,1965
hkg,0.6626,1970
hkg,0.6722,1975
hkg,0.826,1980
hkg,0.9318,1986
hkg,1.204,1993
hkg,1.271,1994
hkg,1.319,1995
hun,1.5,1960
hun,1.6,1961
hun,1.7,1962
hun,1.7,1963
hun,1.8,1964
hun,1.9,1965
hun,1.9,1966
hun,2.0,1967
hun,1.9,1968
hun,2.0,1969
hun,2.0,1970
hun,2.1,1971
hun,2.1,1972
hun,2.2,1973
hun,2.2,1974
hun,2.2,1975
hun,2.3,1976
hun,2.3,1977
hun,2.4,1978
hun,2.5,1979
hun,2.3,1980
hun,2.3,1981
hun,2.4,1982
hun,2.4,1983
hun,2.5,1984
hun,2.5,1985
hun,2.6,1986
hun,2.7,1987
hun,2.7,1988
hun,2.7,1989
hun,2.8,1990
hun,2.9,1991
hun,2.9,1992
hun,2.9,1993
hun,2.9,1994
hun,3.0,1995
hun,3.0,1996
hun,3.0,1997
hun,3.1,1998
hun,3.1,1999
hun,3.2,2002
hun,3.2,2003
hun,3.04,2006
hun,2.783,2007
hun,3.097,2008
isl,1.2,1960
isl,1.2,1961
isl,1.2,1962
isl,1.2,1963
isl,1.2,1964
isl,1.2,1965
isl,1.2,1966
isl,1.2,1967
isl,1.3,1968
isl,1.3,1969
isl,1.4,1970
isl,1.5,1971
isl,1.6,1972
isl,1.6,1973
isl,1.7,1974
isl,1.8,1975
isl,1.9,1976
isl,1.9,1977
isl,2.0,1978
isl,2.0,1979
isl,2.1,1980
isl,2.2,1981
isl,2.3,1982
isl,2.3,1983
isl,2.4,1984
isl,2.6,1985
isl,2.6,1986
isl,2.7,1987
isl,2.7,1988
isl,2.8,1989
isl,2.8,1990
isl,2.8,1991
isl,3.0,1992
isl,3.0,1993
isl,3.0,1994
isl,3.0,1995
isl,3.1,1996
isl,3.3,1997
isl,3.3,1998
isl,3.4,1999
isl,3.4,2000
isl,3.5,2001
isl,3.6,2002
isl,3.6,2003
isl,3.616,2004
