geo,improved_sanitation_urban_access_percent,time
pyf,99,1997
pyf,99,1998
pyf,99,1999
pyf,99,2000
pyf,99,2001
pyf,99,2002
pyf,99,2003
pyf,99,2004
pyf,99,2005
pyf,99,2006
pyf,99,2007
pyf,99,2008
pyf,99,2009
pyf,99,2010
gab,38,1994
gab,38,1995
gab,38,1996
gab,38,1997
gab,38,1998
gab,38,1999
gab,37,2000
gab,37,2001
gab,36,2002
gab,36,2003
gab,35,2004
gab,34,2005
gab,34,2006
gab,33,2007
gab,33,2008
gab,33,2009
gab,33,2010
gmb,65,1992
gmb,65,1993
gmb,65,1994
gmb,65,1995
gmb,65,1996
gmb,65,1997
gmb,66,1998
gmb,66,1999
gmb,67,2000
gmb,67,2001
gmb,67,2002
gmb,68,2003
gmb,68,2004
gmb,69,2005
gmb,69,2006
gmb,69,2007
gmb,70,2008
gmb,70,2009
gmb,70,2010
geo,97,1990
geo,97,1991
geo,97,1992
geo,97,1993
geo,97,1994
geo,97,1995
geo,97,1996
geo,97,1997
geo,97,1998
geo,96,1999
geo,96,2000
geo,96,2001
geo,96,2002
geo,96,2003
geo,96,2004
geo,96,2005
geo,96,2006
geo,96,2007
geo,96,2008
geo,96,2009
geo,96,2010
deu,100,1990
deu,100,1991
deu,100,1992
deu,100,1993
deu,100,1994
deu,100,1995
deu,100,1996
deu,100,1997
deu,100,1998
deu,100,1999
deu,100,2000
deu,100,2001
deu,100,2002
deu,100,2003
deu,100,2004
deu,100,2005
deu,100,2006
deu,100,2007
deu,100,2008
deu,100,2009
deu,100,2010
gha,12,1990
gha,12,1991
gha,13,1992
gha,13,1993
gha,13,1994
gha,14,1995
gha,14,1996
gha,14,1997
gha,15,1998
gha,15,1999
gha,16,2000
gha,16,2001
gha,16,2002
gha,17,2003
gha,17,2004
gha,17,2005
gha,18,2006
gha,18,2007
gha,19,2008
gha,19,2009
gha,19,2010
grc,100,1990
grc,100,1991
grc,100,1992
grc,99,1993
grc,99,1994
grc,99,1995
grc,99,1996
grc,99,1997
grc,99,1998
grc,99,1999
grc,99,2000
grc,99,2001
grc,99,2002
grc,99,2003
grc,99,2004
grc,99,2005
grc,99,2006
grc,99,2007
grc,99,2008
grc,99,2009
grc,99,2010
grl,100,1990
grl,100,1991
grl,100,1992
grl,100,1993
grl,100,1994
grl,100,1995
grl,100,1996
grl,100,1997
grl,100,1998
grl,100,1999
grl,100,2000
grl,100,2001
grl,100,2002
grl,100,2003
grl,100,2004
grl,100,2005
grl,100,2006
grl,100,2007
grl,100,2008
grl,100,2009
grl,100,2010
grd,96,1990
grd,96,1991
grd,96,1992
grd,96,1993
grd,96,1994
grd,96,1995
grd,96,1996
grd,96,1997
grd,96,1998
grd,96,1999
grd,96,2000
grd,96,2001
grd,96,2002
grd,96,2003
grd,96,2004
grd,96,2005
grd,96,2006
grd,96,2007
grd,96,2008
grd,96,2009
grd,96,2010
gum,99,1990
gum,99,1991
gum,99,1992
gum,99,1993
gum,99,1994
gum,99,1995
gum,99,1996
gum,99,1997
gum,99,1998
gum,99,1999
gum,99,2000
gum,99,2001
gum,99,2002
gum,99,2003
gum,99,2004
gum,99,2005
gum,99,2006
gum,99,2007
gum,99,2008
gum,99,2009
gum,99,2010
gtm,81,1990
gtm,82,1991
gtm,82,1992
gtm,82,1993
gtm,83,1994
gtm,83,1995
gtm,83,1996
gtm,84,1997
gtm,84,1998
gtm,84,1999
gtm,85,2000
gtm,85,2001
gtm,85,2002
gtm,85,2003
gtm,86,2004
gtm,86,2005
gtm,86,2006
gtm,87,2007
gtm,87,2008
gtm,87,2009
gtm,87,2010
gin,19,1990
gin,20,1991
gin,20,1992
gin,21,1993
gin,22,1994
gin,22,1995
gin,23,1996
gin,24,1997
gin,24,1998
gin,25,1999
gin,26,2000
gin,27,2001
gin,27,2002
gin,28,2003
gin,29,2004
gin,29,2005
gin,30,2006
gin,31,2007
gin,32,2008
gin,32,2009
gin,32,2010
gnb,35,1994
gnb,35,1995
gnb,35,1996
gnb,35,1997
gnb,35,1998
gnb,36,1999
gnb,36,2000
gnb,37,2001
gnb,38,2002
gnb,39,2003
gnb,39,2004
gnb,40,2005
gnb,41,2006
gnb,42,2007
gnb,42,2008
gnb,43,2009
gnb,44,2010
guy,86,1994
guy,86,1995
guy,86,1996
guy,86,1997
guy,86,1998
guy,86,1999
guy,86,2000
guy,86,2001
guy,87,2002
guy,87,2003
guy,87,2004
guy,87,2005
guy,87,2006
guy,87,2007
guy,87,2008
guy,87,2009
guy,88,2010
hti,44,1990
hti,44,1991
hti,44,1992
hti,43,1993
hti,42,1994
hti,40,1995
hti,39,1996
hti,38,1997
hti,37,1998
hti,35,1999
hti,34,2000
hti,33,2001
hti,32,2002
hti,30,2003
hti,29,2004
hti,28,2005
hti,26,2006
hti,25,2007
hti,24,2008
hti,24,2009
hti,24,2010
hnd,71,1990
hnd,72,1991
hnd,73,1992
hnd,73,1993
hnd,74,1994
hnd,75,1995
hnd,75,1996
hnd,76,1997
hnd,77,1998
hnd,78,1999
hnd,78,2000
hnd,79,2001
hnd,80,2002
hnd,80,2003
hnd,81,2004
hnd,82,2005
hnd,83,2006
hnd,83,2007
hnd,84,2008
hnd,85,2009
hnd,85,2010
hun,100,1990
hun,100,1991
hun,100,1992
hun,100,1993
hun,100,1994
hun,100,1995
hun,100,1996
hun,100,1997
hun,100,1998
hun,100,1999
hun,100,2000
hun,100,2001
hun,100,2002
hun,100,2003
hun,100,2004
hun,100,2005
hun,100,2006
hun,100,2007
hun,100,2008
hun,100,2009
hun,100,2010
isl,100,1990
isl,100,1991
isl,100,1992
isl,100,1993
isl,100,1994
isl,100,1995
isl,100,1996
isl,100,1997
isl,100,1998
isl,100,1999
isl,100,2000
isl,100,2001
isl,100,2002
isl,100,2003
isl,100,2004
isl,100,2005
isl,100,2006
isl,100,2007
isl,100,2008
isl,100,2009
isl,100,2010
ind,51,1990
ind,51,1991
ind,52,1992
ind,52,1993
ind,52,1994
ind,53,1995
ind,53,1996
ind,54,1997
ind,54,1998
ind,54,1999
ind,55,2000
ind,55,2001
ind,55,2002
ind,56,2003
ind,56,2004
ind,56,2005
ind,57,2006
ind,57,2007
ind,57,2008
ind,58,2009
ind,58,2010
idn,56,1990
idn,57,1991
idn,58,1992
idn,59,1993
idn,60,1994
idn,60,1995
idn,61,1996
idn,62,1997
idn,63,1998
idn,64,1999
idn,64,2000
idn,65,2001
idn,66,2002
idn,67,2003
idn,68,2004
idn,69,2005
idn,69,2006
idn,70,2007
idn,71,2008
idn,72,2009
idn,73,2010
irn,83,1990
irn,83,1991
irn,83,1992
irn,83,1993
irn,84,1994
irn,86,1995
irn,87,1996
irn,88,1997
irn,89,1998
irn,90,1999
irn,92,2000
irn,93,2001
irn,94,2002
irn,95,2003
irn,97,2004
irn,98,2005
irn,99,2006
irn,100,2007
irn,100,2008
irn,100,2009
irn,100,2010
irq,76,1991
irq,76,1992
irq,76,1993
irq,76,1994
irq,76,1995
irq,76,1996
irq,76,1997
irq,76,1998
irq,76,1999
irq,76,2000
irq,76,2001
irq,76,2002
irq,76,2003
irq,76,2004
irq,76,2005
irq,76,2006
irq,76,2007
irq,76,2008
irq,76,2009
irq,76,2010
irl,100,1990
irl,100,1991
irl,100,1992
irl,100,1993
irl,100,1994
irl,100,1995
irl,100,1996
irl,100,1997
irl,100,1998
irl,100,1999
irl,100,2000
irl,100,2001
irl,100,2002
irl,100,2003
irl,100,2004
irl,100,2005
irl,100,2006
irl,100,2007
irl,100,2008
irl,100,2009
irl,100,2010
isr,100,1990
isr,100,1991
isr,100,1992
isr,100,1993
isr,100,1994
isr,100,1995
isr,100,1996
isr,100,1997
isr,100,1998
isr,100,1999
isr,100,2000
isr,100,2001
isr,100,2002
isr,100,2003
isr,100,2004
isr,100,2005
isr,100,2006
isr,100,2007
isr,100,2008
isr,100,2009
isr,100,2010
jam,78,1990
jam,78,1991
jam,78,1992
jam,78,1993
jam,78,1994
jam,78,1995
jam,78,1996
jam,78,1997
jam,78,1998
jam,78,1999
jam,78,2000
jam,78,2001
jam,78,2002
jam,78,2003
jam,78,2004
jam,78,2005
jam,78,2006
jam,78,2007
jam,78,2008
jam,78,2009
jam,78,2010
jpn,100,1990
jpn,100,1991
jpn,100,1992
jpn,100,1993
jpn,100,1994
jpn,100,1995
jpn,100,1996
jpn,100,1997
jpn,100,1998
jpn,100,1999
jpn,100,2000
jpn,100,2001
jpn,100,2002
jpn,100,2003
jpn,100,2004
jpn,100,2005
jpn,100,2006
jpn,100,2007
jpn,100,2008
jpn,100,2009
jpn,100,2010
jor,98,1990
jor,98,1991
jor,98,1992
jor,98,1993
jor,98,1994
jor,98,1995
jor,98,1996
jor,98,1997
jor,98,1998
jor,98,1999
jor,98,2000
jor,98,2001
jor,98,2002
jor,98,2003
jor,98,2004
jor,98,2005
jor,98,2006
jor,98,2007
jor,98,2008
jor,98,2009
jor,98,2010
kaz,96,1990
kaz,96,1991
kaz,96,1992
kaz,96,1993
kaz,96,1994
kaz,96,1995
kaz,96,1996
kaz,96,1997
kaz,96,1998
kaz,96,1999
kaz,97,2000
kaz,97,2001
kaz,97,2002
kaz,97,2003
kaz,97,2004
kaz,97,2005
kaz,97,2006
kaz,97,2007
kaz,97,2008
kaz,97,2009
kaz,97,2010
ken,27,1990
ken,28,1991
ken,28,1992
ken,28,1993
ken,28,1994
ken,28,1995
ken,29,1996
ken,29,1997
ken,29,1998
ken,29,1999
ken,30,2000
ken,30,2001
ken,30,2002
ken,30,2003
ken,30,2004
ken,31,2005
ken,31,2006
ken,31,2007
ken,31,2008
ken,31,2009
ken,32,2010
kir,36,1990
kir,37,1991
kir,38,1992
kir,39,1993
kir,40,1994
kir,41,1995
kir,42,1996
kir,43,1997
kir,45,1998
kir,46,1999
kir,47,2000
kir,48,2001
kir,49,2002
kir,49,2003
kir,49,2004
kir,49,2005
kir,49,2006
prk,57,1992
prk,57,1993
prk,57,1994
prk,57,1995
prk,57,1996
prk,59,1997
prk,61,1998
prk,63,1999
prk,65,2000
prk,67,2001
prk,69,2002
prk,71,2003
prk,73,2004
prk,75,2005
prk,78,2006
prk,80,2007
prk,82,2008
prk,84,2009
prk,86,2010
kor,100,1990
kor,100,1991
kor,100,1992
kor,100,1993
kor,100,1994
kor,100,1995
kor,100,1996
kor,100,1997
kor,100,1998
kor,100,1999
kor,100,2000
kor,100,2001
kor,100,2002
kor,100,2003
kor,100,2004
kor,100,2005
kor,100,2006
kor,100,2007
kor,100,2008
kor,100,2009
kor,100,2010
kwt,100,1990
kwt,100,1991
kwt,100,1992
kwt,100,1993
kwt,100,1994
kwt,100,1995
kwt,100,1996
kwt,100,1997
kwt,100,1998
kwt,100,1999
kwt,100,2000
kwt,100,2001
kwt,100,2002
kwt,100,2003
kwt,100,2004
kwt,100,2005
kwt,100,2006
kwt,100,2007
kwt,100,2008
kwt,100,2009
kwt,100,2010
kgz,94,1990
kgz,94,1991
kgz,94,1992
kgz,94,1993
kgz,94,1994
kgz,94,1995
kgz,94,1996
kgz,94,1997
kgz,94,1998
kgz,94,1999
kgz,94,2000
kgz,94,2001
kgz,94,2002
kgz,94,2003
kgz,94,2004
kgz,94,2005
kgz,94,2006
kgz,94,2007
kgz,94,2008
kgz,94,2009
kgz,94,2010
lao,58,1994
lao,58,1995
lao,58,1996
lao,58,1997
lao,58,1998
lao,61,1999
lao,64,2000
lao,66,2001
lao,69,2002
lao,71,2003
lao,74,2004
lao,76,2005
lao,79,2006
lao,82,2007
lao,84,2008
lao,87,2009
lao,89,2010
lva,82,1997
lva,82,1998
lva,82,1999
lva,82,2000
lva,82,2001
lva,82,2002
lva,82,2003
lva,82,2004
