geo,infectious_tb_number_of_new_cases_reported,time
mda,1060,2001
mda,1146,2002
mda,1214,2003
mda,1536,2004
mda,1696,2005
mda,1679,2006
mda,1610,2007
rou,9339,1993
rou,10380,1994
rou,10470,1995
rou,10360,1996
rou,11670,1997
rou,10840,1998
rou,10320,1999
rou,10200,2000
rou,11180,2001
rou,10700,2002
rou,10420,2003
rou,10890,2004
rou,10800,2005
rou,9814,2006
rou,9425,2007
rus,30390,1994
rus,37510,1995
rus,42530,1996
rus,42090,1997
rus,42220,1998
rus,21740,1999
rus,27470,2000
rus,26600,2001
rus,27860,2002
rus,28870,2003
rus,30890,2004
rus,32600,2005
rus,32340,2006
rus,33100,2007
rwa,1840,1995
rwa,2034,1996
rwa,2820,1997
rwa,4417,1998
rwa,4298,1999
rwa,3681,2000
rwa,3252,2001
rwa,3956,2002
rwa,4627,2003
rwa,4179,2004
rwa,4166,2005
rwa,4220,2006
rwa,4053,2007
kna,2,1993
kna,2,1994
kna,4,1995
kna,2,1996
kna,4,1998
kna,2,1999
kna,0,2000
kna,0,2001
kna,1,2002
kna,0,2004
kna,0,2005
kna,1,2006
kna,4,2007
lca,17,1994
lca,11,1995
lca,22,1996
lca,14,1997
lca,10,1998
lca,9,1999
lca,7,2000
lca,6,2001
lca,8,2002
lca,8,2003
lca,11,2004
lca,11,2005
lca,13,2006
lca,18,2007
vct,11,1993
vct,0,1994
vct,5,1995
vct,3,1996
vct,2,1997
vct,3,1998
vct,4,1999
vct,9,2000
vct,3,2001
vct,0,2002
vct,6,2003
vct,5,2004
vct,6,2005
vct,8,2006
vct,4,2007
wsm,21,1993
wsm,18,1994
wsm,15,1995
wsm,9,1996
wsm,14,1997
wsm,7,1998
wsm,17,1999
wsm,13,2000
wsm,11,2001
wsm,19,2002
wsm,12,2003
wsm,11,2004
wsm,11,2005
wsm,13,2006
smr,0,1996
smr,1,1997
smr,0,1998
smr,0,1999
smr,1,2000
smr,0,2001
smr,0,2002
smr,0,2003
smr,0,2004
stp,30,1999
stp,30,2000
stp,41,2001
stp,42,2002
stp,33,2003
stp,50,2004
stp,49,2005
stp,36,2006
stp,58,2007
sau,800,1993
sau,1568,1997
sau,1644,1998
sau,1680,1999
sau,1595,2000
sau,1686,2001
sau,1674,2002
sau,1646,2003
sau,1683,2004
sau,1722,2005
sau,1914,2006
sau,1984,2007
sen,4599,1994
sen,5421,1995
sen,5949,1996
sen,5430,1997
sen,5454,1998
sen,5011,1999
sen,5823,2000
sen,6094,2001
sen,5796,2002
sen,6587,2003
sen,6437,2004
sen,6722,2005
sen,6882,2006
sen,7108,2007
syc,2,1993
syc,6,1995
syc,11,1996
syc,13,1997
syc,9,1998
syc,10,1999
syc,11,2000
syc,12,2001
syc,9,2002
syc,5,2003
syc,13,2004
syc,8,2005
sle,1408,1994
sle,1454,1995
sle,2234,1996
sle,2296,1997
sle,2262,1998
sle,2472,2000
sle,2692,2001
sle,2938,2002
sle,3113,2003
sle,3735,2004
sle,4370,2005
sle,4629,2006
sle,5347,2007
sgp,513,1993
sgp,861,1994
sgp,455,1995
sgp,519,1996
sgp,436,1997
sgp,482,1998
sgp,465,1999
sgp,248,2000
sgp,357,2001
sgp,549,2002
sgp,583,2003
sgp,501,2004
sgp,552,2005
sgp,537,2006
sgp,504,2007
svk,882,1993
svk,409,1994
svk,788,1995
svk,760,1996
svk,283,1997
svk,303,1998
svk,246,1999
svk,236,2000
svk,226,2001
svk,202,2002
svk,200,2003
svk,157,2004
svk,162,2005
svk,160,2006
svk,176,2007
svn,361,1993
svn,294,1994
svn,303,1995
svn,221,1996
svn,156,1997
svn,157,1998
svn,165,1999
svn,145,2000
svn,139,2001
svn,130,2002
svn,116,2003
svn,89,2004
svn,109,2005
svn,83,2006
svn,90,2007
slb,155,1993
slb,114,1994
slb,109,1995
slb,90,1996
slb,113,1997
slb,140,1998
slb,93,1999
slb,109,2000
slb,118,2001
slb,108,2002
slb,138,2003
slb,152,2004
slb,169,2005
slb,124,2006
slb,142,2007
som,1168,1994
som,1572,1995
som,2894,1996
som,3093,1997
som,3121,1998
som,3461,1999
som,3776,2000
som,4640,2001
som,4818,2002
som,5190,2003
