children_out_of_school_primary_female,geo,time
506200,ken,2008
486200,ken,2009
24,kir,1986
310,kir,1987
211,kir,1989
109300,kor,1971
55530,kor,1972
79610,kor,1973
97590,kor,1974
94540,kor,1975
67220,kor,1976
86690,kor,1977
74140,kor,1978
28720,kor,1979
15680,kor,1984
27720,kor,1985
26380,kor,1986
8024,kor,1998
86,kor,1999
73,kor,2000
8817,kor,2001
14520,kor,2002
10060,kor,2003
18640,kor,2004
23420,kor,2005
21970,kor,2006
19880,kor,2007
15960,kor,2008
13860,kor,2009
24610,kor,2010
19520,kwt,1971
19090,kwt,1972
18960,kwt,1973
19790,kwt,1974
19660,kwt,1975
18630,kwt,1976
16390,kwt,1977
13770,kwt,1978
15680,kwt,1979
14860,kwt,1980
13520,kwt,1981
12890,kwt,1982
10910,kwt,1983
10180,kwt,1984
10460,kwt,1985
10720,kwt,1986
15340,kwt,1987
17970,kwt,1988
52290,kwt,1992
23120,kwt,1994
3504,kwt,1996
3533,kwt,1997
727,kwt,1999
2332,kwt,2000
1667,kwt,2001
171,kwt,2002
10,kwt,2005
769,kwt,2007
42,kwt,2008
23300,kgz,1996
17260,kgz,1999
18730,kgz,2000
17410,kgz,2001
16880,kgz,2002
16320,kgz,2003
4134,kgz,2004
9529,kgz,2005
7754,kgz,2006
10200,kgz,2007
11280,kgz,2008
11540,kgz,2009
9467,kgz,2010
8044,kgz,2011
130800,lao,1992
121200,lao,1993
113900,lao,1994
111200,lao,1996
105000,lao,1997
96120,lao,1998
94970,lao,1999
93930,lao,2000
97360,lao,2001
94730,lao,2002
85530,lao,2003
81330,lao,2004
75740,lao,2005
69940,lao,2006
58930,lao,2007
47490,lao,2008
35260,lao,2009
16300,lao,2010
12500,lao,2011
13430,lva,1995
13530,lva,1996
11680,lva,1997
8521,lva,1998
4819,lva,1999
3293,lva,2008
2744,lva,2009
1775,lva,2010
19980,lbn,1974
52920,lbn,1997
18280,lbn,1998
13080,lbn,1999
28880,lbn,2006
28610,lbn,2007
27660,lbn,2008
24460,lbn,2009
15280,lbn,2010
6669,lbn,2011
26530,lso,1970
32040,lso,1972
32970,lso,1973
24000,lso,1974
23870,lso,1976
22920,lso,1977
32790,lso,1978
31630,lso,1979
32920,lso,1980
34570,lso,1981
30210,lso,1982
32460,lso,1983
32090,lso,1984
29500,lso,1985
31050,lso,1986
29570,lso,1987
29040,lso,1988
31610,lso,1989
34940,lso,1990
33780,lso,1991
35230,lso,1992
41490,lso,1993
41910,lso,1994
46680,lso,1995
47330,lso,1996
65440,lso,1998
73500,lso,1999
38200,lso,2000
38580,lso,2001
38850,lso,2002
39160,lso,2003
44330,lso,2004
46080,lso,2005
52410,lso,2006
51740,lso,2007
49700,lso,2008
48460,lso,2009
46260,lso,2010
124100,lbr,1999
