geo,suicide_men_per_100000_people,time
nld,8.122,1962
nld,8.018,1963
nld,8.376,1964
nld,8.749,1965
nld,9.091,1966
nld,8.141,1967
nld,7.997,1968
nld,9.161,1969
nld,9.999,1970
nld,9.859,1971
nld,10.01,1972
nld,9.966,1973
nld,10.99,1974
nld,10.68,1975
nld,11.74,1976
nld,11.36,1977
nld,10.82,1978
nld,11.42,1979
nld,12.26,1980
nld,11.62,1981
nld,12.28,1982
nld,13.59,1983
nld,14.06,1984
nld,13.42,1985
nld,12.61,1986
nld,12.38,1987
nld,11.9,1988
nld,11.62,1989
nld,10.99,1990
nld,12.3,1991
nld,12.2,1992
nld,11.95,1993
nld,12.49,1994
nld,11.48,1995
nld,11.85,1996
nld,12.01,1997
nld,11.38,1998
nld,11.33,1999
nld,11.09,2000
nld,10.95,2001
nld,11.49,2002
nld,10.91,2003
nld,10.9,2004
nzl,13.89,1950
nzl,14.92,1951
nzl,15.44,1952
nzl,14.08,1953
nzl,13.29,1954
nzl,13.36,1955
nzl,12.77,1956
nzl,14.48,1957
nzl,15.48,1958
nzl,14.46,1959
nzl,15.02,1960
nzl,13.99,1961
nzl,12.55,1962
nzl,13.59,1963
nzl,10.7,1964
nzl,13.44,1965
nzl,12.78,1966
nzl,15.63,1967
nzl,14.34,1968
nzl,14.43,1969
nzl,13.8,1970
nzl,11.45,1971
nzl,12.86,1972
nzl,13.35,1973
nzl,13.41,1974
nzl,13.82,1975
nzl,13.45,1976
nzl,17.74,1977
nzl,13.93,1978
nzl,14.4,1979
nzl,14.81,1980
nzl,15.79,1981
nzl,16.25,1982
nzl,15.46,1983
nzl,18.32,1984
nzl,15.46,1985
nzl,18.29,1986
nzl,21.76,1987
nzl,22.54,1988
nzl,22.05,1989
nzl,21.46,1990
nzl,21.64,1991
nzl,22.41,1992
nzl,19.34,1993
nzl,22.47,1994
nzl,23.36,1995
nzl,22.96,1996
nzl,23.7,1997
nzl,23.57,1998
nzl,20.36,1999
nzl,19.93,2000
nzl,20.36,2001
nzl,18.09,2002
nzl,18.5,2003
nzl,18.74,2004
nic,19.36,2004
ner,13.03,2004
nga,10.25,2004
niu,4.736,2004
nor,9.586,1951
nor,9.674,1952
nor,10.27,1953
nor,11.48,1954
nor,10.91,1955
nor,11.02,1956
nor,10.88,1957
nor,10.89,1958
nor,10.94,1959
nor,9.923,1960
nor,10.12,1961
nor,11.84,1962
nor,10.94,1963
nor,10.57,1964
nor,11.26,1965
nor,9.917,1966
nor,9.68,1967
