geo,extreme_temperature_deaths_annual_number,time
ind,282,2000
ind,173,2001
ind,1930,2002
ind,1610,2003
ind,0,2004
ind,509,2005
ind,47,2006
ind,185,2007
ind,70,2008
isr,0,1971
isr,0,1972
isr,0,1973
isr,0,1975
isr,0,1977
isr,0,1978
isr,0,1979
isr,0,1980
isr,0,1981
isr,0,1982
isr,0,1983
isr,0,1984
isr,0,1985
isr,0,1986
isr,0,1987
isr,0,1988
isr,0,1989
isr,0,1990
isr,0,1991
isr,0,1992
isr,0,1993
isr,0,1994
isr,0,1995
isr,0,1996
isr,0,1997
isr,0,1998
isr,0,1999
isr,0,2000
isr,0,2001
isr,0,2002
isr,0,2003
isr,0,2004
isr,0,2005
isr,0,2006
isr,0,2007
isr,0,2008
ita,0,1971
ita,0,1972
ita,0,1973
ita,0,1975
ita,0,1977
ita,0,1978
ita,0,1979
ita,0,1980
ita,0,1981
ita,0,1982
ita,0,1983
ita,0,1984
ita,0,1985
ita,0,1986
ita,0,1987
ita,0,1988
ita,0,1989
ita,0,1990
ita,0,1991
ita,0,1992
ita,0,1993
ita,0,1994
ita,0,1995
ita,0,1996
ita,0,1997
ita,10,1998
ita,0,1999
ita,0,2000
ita,0,2001
ita,0,2002
ita,20090,2003
ita,0,2004
ita,9,2005
ita,0,2006
ita,6,2007
ita,0,2008
jpn,0,1971
jpn,0,1972
jpn,0,1973
jpn,0,1975
jpn,0,1977
jpn,0,1978
jpn,0,1979
jpn,0,1980
jpn,0,1981
jpn,0,1982
jpn,0,1983
jpn,0,1984
jpn,0,1985
jpn,0,1986
jpn,0,1987
jpn,0,1988
jpn,0,1989
jpn,0,1990
jpn,0,1991
jpn,0,1992
jpn,0,1993
jpn,0,1994
jpn,0,1995
jpn,0,1996
jpn,0,1997
jpn,0,1998
jpn,0,1999
jpn,0,2000
jpn,0,2001
jpn,0,2002
jpn,0,2003
jpn,10,2004
jpn,0,2005
jpn,0,2006
jpn,62,2007
jpn,0,2008
jor,0,1971
jor,0,1972
jor,0,1973
jor,0,1975
jor,0,1977
jor,0,1978
jor,0,1979
jor,0,1980
jor,0,1981
jor,0,1982
jor,0,1983
jor,0,1984
jor,0,1985
jor,0,1986
jor,0,1987
jor,0,1988
jor,0,1989
jor,0,1990
jor,0,1991
jor,15,1992
jor,0,1993
jor,0,1994
jor,0,1995
jor,0,1996
jor,0,1997
jor,0,1998
jor,0,1999
jor,0,2000
jor,0,2001
jor,0,2002
jor,0,2003
jor,0,2004
jor,0,2005
jor,0,2006
jor,0,2007
jor,0,2008
kaz,0,1971
kaz,0,1972
kaz,0,1973
kaz,0,1975
kaz,0,1977
kaz,0,1978
kaz,0,1979
kaz,0,1980
kaz,0,1981
kaz,0,1982
kaz,0,1983
kaz,0,1984
kaz,0,1985
kaz,0,1986
kaz,0,1987
kaz,0,1988
kaz,0,1989
kaz,0,1990
kaz,0,1991
kaz,0,1992
kaz,0,1993
kaz,0,1994
kaz,0,1995
kaz,0,1996
kaz,0,1997
kaz,0,1998
kaz,0,1999
kaz,0,2000
kaz,3,2001
kaz,0,2002
kaz,0,2003
kaz,0,2004
kaz,0,2005
kaz,0,2006
kaz,0,2007
kaz,0,2008
kor,0,1971
kor,0,1972
kor,0,1973
kor,0,1975
kor,0,1977
kor,0,1978
kor,0,1979
kor,0,1980
kor,0,1981
kor,0,1982
kor,0,1983
kor,0,1984
kor,0,1985
kor,0,1986
kor,0,1987
kor,0,1988
kor,0,1989
kor,40,1990
kor,0,1991
kor,0,1992
kor,0,1993
kor,0,1994
kor,0,1995
kor,0,1996
kor,0,1997
kor,0,1998
kor,0,1999
kor,0,2000
kor,0,2001
kor,0,2002
kor,0,2003
kor,0,2004
kor,0,2005
kor,0,2006
kor,0,2007
kor,0,2008
kgz,0,1971
kgz,0,1972
kgz,0,1973
kgz,0,1975
kgz,0,1977
kgz,0,1978
kgz,0,1979
kgz,0,1980
kgz,0,1981
kgz,0,1982
kgz,0,1983
kgz,0,1984
kgz,0,1985
kgz,0,1986
kgz,0,1987
kgz,0,1988
kgz,0,1989
kgz,0,1990
kgz,0,1991
kgz,0,1992
kgz,0,1993
kgz,0,1994
kgz,0,1995
kgz,0,1996
kgz,0,1997
kgz,0,1998
kgz,0,1999
kgz,11,2000
kgz,0,2001
kgz,0,2002
kgz,0,2003
kgz,0,2004
kgz,0,2005
kgz,0,2006
kgz,0,2007
kgz,0,2008
lva,0,1971
lva,0,1972
lva,0,1973
lva,0,1975
lva,0,1977
lva,0,1978
lva,0,1979
lva,0,1980
lva,0,1981
lva,0,1982
lva,0,1983
lva,0,1984
lva,0,1985
lva,0,1986
lva,0,1987
lva,0,1988
lva,0,1989
lva,0,1990
lva,0,1991
lva,0,1992
lva,0,1993
lva,0,1994
lva,0,1995
lva,0,1996
lva,0,1997
lva,0,1998
lva,0,1999
lva,0,2000
lva,21,2001
lva,0,2002
lva,15,2003
lva,0,2004
lva,40,2005
lva,0,2006
lva,0,2007
lva,0,2008
lbr,0,1971
lbr,0,1972
lbr,0,1973
lbr,0,1975
lbr,0,1977
lbr,0,1978
lbr,0,1979
lbr,0,1980
lbr,0,1981
lbr,0,1982
lbr,0,1983
lbr,0,1984
lbr,0,1985
lbr,0,1986
lbr,0,1987
lbr,0,1988
lbr,0,1989
lbr,0,1990
lbr,0,1991
lbr,0,1992
lbr,0,1993
lbr,0,1994
lbr,0,1995
lbr,0,1996
lbr,0,1997
lbr,0,1998
lbr,0,1999
lbr,0,2000
lbr,0,2001
lbr,0,2002
lbr,0,2003
lbr,0,2004
lbr,0,2005
lbr,0,2006
lbr,0,2007
lbr,0,2008
ltu,0,1971
ltu,0,1972
ltu,0,1973
ltu,0,1975
ltu,0,1977
ltu,0,1978
ltu,0,1979
ltu,0,1980
