geo,infant_mortality_rate_per_1000_births,time
blz,30.4,1991
blz,28.8,1992
blz,27.4,1993
blz,26.1,1994
blz,25.1,1995
blz,24.1,1996
blz,23.3,1997
blz,22.5,1998
blz,21.8,1999
blz,21.1,2000
blz,20.5,2001
blz,19.9,2002
blz,19.4,2003
blz,18.9,2004
blz,18.5,2005
blz,18.0,2006
blz,17.6,2007
blz,17.2,2008
blz,16.7,2009
blz,16.3,2010
blz,15.9,2011
blz,15.5,2012
blz,15.1,2013
blz,14.6,2014
blz,14.2,2015
ben,208.6,1950
ben,206.5,1951
ben,204.7,1952
ben,202.7,1953
ben,200.7,1954
ben,198.7,1955
ben,196.7,1956
ben,194.6,1957
ben,192.2,1958
ben,189.7,1959
ben,186.9,1960
ben,183.9,1961
ben,180.6,1962
ben,177.1,1963
ben,173.6,1964
ben,170.2,1965
ben,166.8,1966
