suicide_age_30_44_per_100000_people,geo,time
22.05,mda,2008
4.787,nld,1950
6.586,nld,1951
5.584,nld,1952
5.465,nld,1953
4.928,nld,1954
4.76,nld,1955
4.876,nld,1956
4.975,nld,1957
5.632,nld,1958
6.995,nld,1959
6.617,nld,1960
5.624,nld,1961
6.337,nld,1962
5.391,nld,1963
5.831,nld,1964
6.314,nld,1965
6.487,nld,1966
6.859,nld,1967
6.485,nld,1968
8.177,nld,1969
8.048,nld,1970
8.129,nld,1971
9.236,nld,1972
9.886,nld,1973
10.77,nld,1974
10.13,nld,1975
11.99,nld,1976
11.26,nld,1977
11.86,nld,1978
12.08,nld,1979
11.92,nld,1980
11.86,nld,1981
11.72,nld,1982
13.58,nld,1983
14.9,nld,1984
13.49,nld,1985
12.91,nld,1986
13.02,nld,1987
12.41,nld,1988
11.75,nld,1989
13.01,nld,1990
14.11,nld,1991
13.51,nld,1992
12.73,nld,1993
14.3,nld,1994
13.23,nld,1995
13.09,nld,1996
12.93,nld,1997
12.16,nld,1998
12.03,nld,1999
11.7,nld,2000
12.07,nld,2001
12.4,nld,2002
11.12,nld,2003
11.69,nld,2004
12.15,nld,2005
10.79,nld,2006
9.621,nld,2007
10.3,nld,2008
10.2,nzl,1950
12.89,nzl,1951
9.437,nzl,1952
11.03,nzl,1953
7.723,nzl,1954
8.91,nzl,1955
10.86,nzl,1956
10.81,nzl,1957
11.04,nzl,1958
12.28,nzl,1959
13.7,nzl,1960
10.77,nzl,1961
14.27,nzl,1962
11.75,nzl,1963
8.561,nzl,1964
10.85,nzl,1965
11.18,nzl,1966
15.72,nzl,1967
14.35,nzl,1968
12.2,nzl,1969
12.52,nzl,1970
10.22,nzl,1971
12.35,nzl,1972
8.589,nzl,1973
11.98,nzl,1974
12.58,nzl,1975
11.15,nzl,1976
16.92,nzl,1977
11.72,nzl,1978
11.5,nzl,1979
12.33,nzl,1980
12.78,nzl,1981
13.23,nzl,1982
14.06,nzl,1983
14.66,nzl,1984
10.38,nzl,1985
15.97,nzl,1986
14.15,nzl,1987
15.02,nzl,1988
13.65,nzl,1989
15.57,nzl,1990
16.62,nzl,1991
14.46,nzl,1992
15.28,nzl,1993
16.08,nzl,1994
16.03,nzl,1995
17.35,nzl,1996
19.96,nzl,1997
18.89,nzl,1998
18.89,nzl,1999
15.48,nzl,2000
20.15,nzl,2001
17.91,nzl,2002
18.26,nzl,2003
16.32,nzl,2004
17.63,nzl,2005
16.7,nzl,2006
9.568,nor,1951
8.396,nor,1952
8.455,nor,1953
7.779,nor,1954
10.08,nor,1955
8.885,nor,1956
8.224,nor,1957
8.3,nor,1958
8.379,nor,1959
8.636,nor,1960
9.733,nor,1961
11.14,nor,1962
10.84,nor,1963
6.911,nor,1964
10.88,nor,1965
9.306,nor,1966
8.436,nor,1967
12.41,nor,1968
11.45,nor,1969
12.3,nor,1970
12.33,nor,1971
10.66,nor,1972
11.03,nor,1973
13.85,nor,1974
11.91,nor,1975
13.31,nor,1976
15.75,nor,1977
15.44,nor,1978
14.01,nor,1979
13.28,nor,1980
16.46,nor,1981
18.59,nor,1982
15.73,nor,1983
16.36,nor,1984
17.8,nor,1985
18.99,nor,1986
18.43,nor,1987
20.54,nor,1988
18.73,nor,1989
19.17,nor,1990
17.84,nor,1991
16.89,nor,1992
17.98,nor,1993
14.66,nor,1994
16.04,nor,1995
