newly_hiv_infected_percent_age_15_49,geo,time
0.06,png,2011
0.06,pry,2011
0.06,per,2011
0.06,phl,1990
0.06,phl,1991
0.06,phl,1992
0.06,phl,1993
0.06,phl,1994
0.06,phl,1995
0.06,phl,1996
0.06,phl,1997
0.06,phl,1998
0.06,phl,1999
0.06,phl,2000
0.06,phl,2001
0.06,phl,2002
0.06,phl,2003
0.06,phl,2004
0.06,phl,2005
0.06,phl,2006
0.06,phl,2007
0.06,phl,2008
0.06,phl,2009
0.06,phl,2010
0.06,phl,2011
0.06,pol,2011
0.06,prt,2011
0.06,rou,2011
0.55,rwa,1990
0.64,rwa,1991
0.67,rwa,1992
0.64,rwa,1993
0.57,rwa,1994
0.51,rwa,1995
0.52,rwa,1996
0.49,rwa,1997
0.45,rwa,1998
0.42,rwa,1999
0.38,rwa,2000
0.31,rwa,2001
0.29,rwa,2002
0.28,rwa,2003
0.27,rwa,2004
0.25,rwa,2005
0.21,rwa,2006
0.21,rwa,2007
0.21,rwa,2008
0.2,rwa,2009
0.17,rwa,2010
0.15,rwa,2011
0.06,stp,2011
0.06,sen,1990
0.06,sen,1991
0.06,sen,1992
0.06,sen,1993
0.06,sen,1994
0.06,sen,1995
0.06,sen,1996
0.06,sen,1997
0.06,sen,1998
0.1,sen,1999
0.1,sen,2000
0.1,sen,2001
0.11,sen,2002
0.1,sen,2003
0.1,sen,2004
0.1,sen,2005
0.06,sen,2006
0.06,sen,2007
0.06,sen,2008
0.06,sen,2009
0.06,sen,2011
0.06,srb,2011
0.06,sle,1990
0.06,sle,1991
0.06,sle,1992
0.06,sle,1993
0.06,sle,1994
0.06,sle,1995
0.1,sle,1996
0.12,sle,1997
0.14,sle,1998
0.16,sle,1999
0.18,sle,2000
0.2,sle,2001
0.21,sle,2002
0.22,sle,2003
0.22,sle,2004
0.22,sle,2005
0.21,sle,2006
0.18,sle,2007
0.15,sle,2008
0.13,sle,2009
0.13,sle,2010
0.12,sle,2011
0.06,sgp,2011
0.06,svk,2011
0.06,svn,2011
0.06,som,2011
0.22,zaf,1990
0.35,zaf,1991
0.57,zaf,1992
0.89,zaf,1993
1.34,zaf,1994
1.9,zaf,1995
2.47,zaf,1996
2.9,zaf,1997
3.07,zaf,1998
2.97,zaf,1999
2.72,zaf,2000
2.42,zaf,2001
2.16,zaf,2002
1.96,zaf,2003
1.83,zaf,2004
1.75,zaf,2005
1.7,zaf,2006
1.66,zaf,2007
1.63,zaf,2008
1.55,zaf,2009
