geo,total_health_spending_per_person_international_dollar,time
irn,523.2,2005
irn,550.4,2006
irn,600.4,2007
irn,667.6,2008
irn,727.5,2009
irn,836.3,2010
irq,161.6,1996
irq,30.56,1997
irq,41.44,1998
irq,46.35,1999
irq,76.89,2000
irq,83.96,2001
irq,28.78,2002
irq,74.53,2003
irq,152.1,2004
irq,122.0,2005
irq,119.3,2006
irq,135.7,2007
irq,158.6,2008
irq,341.9,2009
irq,340.1,2010
irl,1190.0,1995
irl,1273.0,1996
irl,1376.0,1997
irl,1475.0,1998
irl,1573.0,1999
irl,1762.0,2000
irl,2060.0,2001
irl,2335.0,2002
irl,2540.0,2003
irl,2762.0,2004
irl,2940.0,2005
irl,3178.0,2006
irl,3473.0,2007
irl,3766.0,2008
irl,3757.0,2009
irl,3704.0,2010
isr,1398.0,1995
isr,1483.0,1996
isr,1570.0,1997
isr,1586.0,1998
isr,1563.0,1999
isr,1726.0,2000
isr,1845.0,2001
isr,1830.0,2002
isr,1716.0,2003
isr,1795.0,2004
isr,1793.0,2005
isr,1858.0,2006
isr,1974.0,2007
isr,2073.0,2008
isr,2111.0,2009
isr,2186.0,2010
ita,1531.0,1995
ita,1608.0,1996
ita,1728.0,1997
ita,1833.0,1998
ita,1885.0,1999
ita,2064.0,2000
ita,2228.0,2001
ita,2235.0,2002
ita,2265.0,2003
ita,2373.0,2004
ita,2516.0,2005
ita,2725.0,2006
ita,2770.0,2007
ita,3009.0,2008
ita,3071.0,2009
ita,3022.0,2010
jam,232.5,1995
jam,268.0,1996
jam,341.0,1997
jam,284.1,1998
jam,266.5,1999
jam,317.5,2000
jam,304.4,2001
jam,296.2,2002
jam,295.7,2003
jam,322.9,2004
jam,284.8,2005
jam,307.7,2006
jam,369.4,2007
jam,413.1,2008
jam,379.4,2009
jam,371.6,2010
jpn,1554.0,1995
jpn,1658.0,1996
jpn,1696.0,1997
jpn,1746.0,1998
jpn,1830.0,1999
jpn,1974.0,2000
jpn,2074.0,2001
jpn,2140.0,2002
jpn,2234.0,2003
jpn,2345.0,2004
jpn,2491.0,2005
jpn,2609.0,2006
jpn,2750.0,2007
jpn,2878.0,2008
jpn,3045.0,2009
jpn,3204.0,2010
jor,225.9,1995
jor,237.1,1996
jor,262.9,1997
jor,271.6,1998
jor,282.3,1999
jor,305.3,2000
jor,331.3,2001
jor,343.4,2002
jor,342.8,2003
jor,372.7,2004
jor,383.0,2005
jor,364.5,2006
jor,414.1,2007
jor,466.3,2008
jor,493.2,2009
jor,448.4,2010
kaz,168.1,1995
kaz,163.9,1996
kaz,185.5,1997
kaz,193.5,1998
kaz,184.9,1999
kaz,198.7,2000
kaz,193.1,2001
kaz,224.3,2002
kaz,255.1,2003
kaz,305.4,2004
kaz,353.6,2005
kaz,387.7,2006
kaz,373.1,2007
kaz,440.4,2008
kaz,514.5,2009
kaz,540.5,2010
ken,45.54,1995
ken,45.71,1996
ken,45.26,1997
ken,50.41,1998
ken,47.66,1999
ken,53.26,2000
ken,54.37,2001
ken,53.14,2002
ken,53.34,2003
ken,54.15,2004
ken,58.69,2005
ken,65.02,2006
ken,68.56,2007
ken,66.1,2008
ken,75.32,2009
ken,77.72,2010
kir,145.6,1995
kir,151.8,1996
kir,163.1,1997
kir,135.3,1998
kir,172.6,1999
kir,165.6,2000
kir,179.7,2001
kir,189.1,2002
kir,217.3,2003
kir,238.9,2004
kir,229.4,2005
kir,252.7,2006
kir,323.9,2007
kir,305.6,2008
kir,294.4,2009
kir,257.5,2010
kor,480.3,1995
kor,543.2,1996
kor,579.5,1997
kor,566.7,1998
kor,665.3,1999
kor,770.6,2000
kor,917.8,2001
kor,966.1,2002
kor,1046.0,2003
kor,1136.0,2004
kor,1291.0,2005
kor,1469.0,2006
kor,1651.0,2007
kor,1736.0,2008
kor,1879.0,2009
kor,2023.0,2010
kwt,1066.0,1995
kwt,1005.0,1996
kwt,1083.0,1997
kwt,1296.0,1998
kwt,1011.0,1999
kwt,704.6,2000
kwt,1001.0,2001
kwt,1004.0,2002
kwt,1061.0,2003
kwt,997.8,2004
kwt,950.3,2005
kwt,941.9,2006
kwt,917.1,2007
kwt,1052.0,2008
kwt,1671.0,2009
kwt,1133.0,2010
kgz,68.33,1995
kgz,67.44,1996
kgz,65.18,1997
kgz,82.22,1998
kgz,74.24,1999
kgz,61.76,2000
kgz,67.62,2001
kgz,77.78,2002
kgz,84.83,2003
kgz,95.67,2004
kgz,102.6,2005
kgz,119.5,2006
kgz,135.2,2007
kgz,128.3,2008
kgz,147.8,2009
kgz,140.3,2010
lao,37.57,1995
lao,44.35,1996
lao,64.83,1997
lao,68.01,1998
lao,42.13,1999
lao,39.89,2000
lao,50.87,2001
lao,52.3,2002
lao,66.47,2003
lao,68.38,2004
lao,71.88,2005
lao,72.45,2006
lao,78.35,2007
lao,93.64,2008
lao,92.38,2009
lao,97.15,2010
lva,316.1,1995
lva,357.2,1996
lva,408.4,1997
lva,443.5,1998
lva,477.1,1999
lva,479.1,2000
lva,543.8,2001
lva,614.6,2002
lva,651.0,2003
lva,762.8,2004
lva,826.6,2005
lva,1015.0,2006
lva,1198.0,2007
lva,1188.0,2008
lva,1066.0,2009
lva,1093.0,2010
lbn,752.2,1995
lbn,791.0,1996
lbn,828.7,1997
lbn,859.0,1998
lbn,778.5,1999
lbn,754.0,2000
lbn,745.5,2001
lbn,711.7,2002
lbn,704.1,2003
lbn,772.6,2004
lbn,772.5,2005
lbn,802.2,2006
lbn,909.0,2007
lbn,921.2,2008
lbn,964.7,2009
lbn,980.4,2010
lso,64.76,1995
lso,66.3,1996
