geo,sex_ratio_above_50_years,time
lso,75.02,2000
lso,70.57,2005
lso,64.58,2010
lso,60.47,2015
lso,59.35,2020
lso,62.58,2025
lso,70.9,2030
lso,80.23,2035
lso,87.69,2040
lso,91.31,2045
lso,91.81,2050
lbr,87.37,1950
lbr,87.23,1955
lbr,86.88,1960
lbr,86.69,1965
lbr,86.59,1970
lbr,86.69,1975
lbr,86.78,1980
lbr,87.03,1985
lbr,87.3,1990
lbr,87.73,1995
lbr,87.9,2000
lbr,87.29,2005
lbr,87.11,2010
lbr,87.19,2015
lbr,87.6,2020
lbr,88.15,2025
lbr,89.02,2030
lbr,89.78,2035
lbr,90.31,2040
lbr,90.89,2045
lbr,91.47,2050
lby,143.3,1950
lby,127.8,1955
lby,120.3,1960
lby,121.1,1965
lby,113.1,1970
lby,114.3,1975
lby,118.5,1980
lby,121.4,1985
lby,118.5,1990
lby,118.8,1995
lby,119.4,2000
lby,118.8,2005
lby,120.6,2010
lby,114.9,2015
lby,108.1,2020
lby,102.7,2025
lby,99.22,2030
lby,97.1,2035
lby,95.37,2040
lby,93.81,2045
lby,92.67,2050
ltu,66.75,1950
ltu,68.36,1955
ltu,72.9,1960
ltu,69.96,1965
ltu,68.37,1970
ltu,65.81,1975
ltu,65.39,1980
ltu,65.88,1985
ltu,66.7,1990
ltu,65.76,1995
ltu,65.23,2000
ltu,64.88,2005
ltu,65.28,2010
ltu,66.4,2015
ltu,67.68,2020
ltu,69.05,2025
ltu,70.76,2030
ltu,73.03,2035
ltu,75.11,2040
ltu,76.36,2045
ltu,76.81,2050
lux,95.0,1950
lux,91.3,1955
lux,88.23,1960
lux,85.42,1965
lux,82.26,1970
lux,77.64,1975
lux,77.45,1980
lux,77.28,1985
lux,78.0,1990
lux,79.48,1995
lux,82.43,2000
lux,86.52,2005
lux,89.02,2010
lux,91.26,2015
lux,92.47,2020
lux,92.83,2025
lux,92.67,2030
lux,92.45,2035
lux,92.08,2040
lux,91.95,2045
lux,91.99,2050
mdg,88.78,1950
mdg,91.53,1955
mdg,96.47,1960
mdg,103.2,1965
mdg,110.7,1970
mdg,114.4,1975
mdg,113.5,1980
mdg,109.0,1985
mdg,103.5,1990
mdg,98.14,1995
mdg,94.91,2000
mdg,93.65,2005
mdg,93.07,2010
mdg,92.9,2015
mdg,92.89,2020
mdg,92.84,2025
mdg,92.75,2030
mdg,92.52,2035
mdg,92.33,2040
mdg,92.15,2045
mdg,91.93,2050
mwi,85.58,1950
mwi,84.4,1955
mwi,83.33,1960
mwi,82.62,1965
mwi,83.31,1970
mwi,84.12,1975
mwi,83.8,1980
mwi,83.45,1985
mwi,87.61,1990
mwi,95.09,1995
mwi,94.52,2000
mwi,91.48,2005
mwi,85.78,2010
mwi,81.36,2015
mwi,79.66,2020
mwi,80.67,2025
mwi,85.11,2030
mwi,88.89,2035
mwi,92.5,2040
mwi,95.72,2045
mwi,97.99,2050
mys,113.5,1950
mys,116.3,1955
mys,115.9,1960
mys,112.8,1965
mys,105.6,1970
mys,100.4,1975
mys,98.12,1980
mys,94.28,1985
mys,95.66,1990
mys,97.8,1995
mys,99.72,2000
mys,99.87,2005
mys,99.01,2010
mys,97.62,2015
mys,96.19,2020
mys,94.78,2025
mys,93.69,2030
mys,92.78,2035
mys,92.36,2040
mys,92.21,2045
mys,92.28,2050
mdv,119.4,1950
mdv,118.1,1955
mdv,117.2,1960
mdv,117.0,1965
mdv,116.6,1970
mdv,116.4,1975
mdv,116.0,1980
mdv,111.0,1985
mdv,137.7,1990
mdv,123.7,1995
mdv,115.6,2000
mdv,109.4,2005
mdv,102.2,2010
mdv,98.17,2015
mdv,92.37,2020
mdv,91.13,2025
mdv,92.2,2030
mdv,92.89,2035
mdv,93.62,2040
mdv,93.8,2045
mdv,93.29,2050
mli,90.47,1950
mli,92.22,1955
mli,95.32,1960
mli,99.31,1965
mli,102.4,1970
mli,104.8,1975
mli,105.2,1980
mli,103.8,1985
mli,100.1,1990
mli,95.91,1995
mli,90.65,2000
mli,85.54,2005
mli,81.97,2010
mli,80.23,2015
mli,80.15,2020
mli,81.03,2025
mli,82.39,2030
mli,84.09,2035
mli,85.67,2040
mli,86.87,2045
mli,87.69,2050
mlt,89.66,1950
mlt,96.55,1955
mlt,89.23,1960
mlt,93.75,1965
mlt,87.44,1970
mlt,86.57,1975
mlt,87.6,1980
mlt,82.21,1985
mlt,81.53,1990
mlt,82.63,1995
mlt,84.51,2000
mlt,86.81,2005
mlt,89.35,2010
mlt,91.33,2015
mlt,92.7,2020
mlt,93.82,2025
mlt,94.63,2030
mlt,94.81,2035
mlt,94.91,2040
mlt,95.04,2045
mlt,95.05,2050
mtq,77.75,1950
mtq,70.08,1955
mtq,80.58,1960
