imports_percent_of_gdp,geo,time
23.73,cod,1995
30.31,cod,1996
15.0,cod,1997
32.89,cod,1998
17.56,cod,1999
21.37,cod,2000
20.69,cod,2001
26.07,cod,2002
33.35,cod,2003
39.17,cod,2004
42.73,cod,2005
44.36,cod,2006
37.94,cod,2007
38.56,cod,2008
30.46,cod,2009
38.77,cod,2010
85.61,cog,1960
83.66,cog,1961
62.95,cog,1962
57.85,cog,1963
56.45,cog,1964
53.09,cog,1965
51.11,cog,1966
55.82,cog,1967
57.23,cog,1968
56.89,cog,1969
57.76,cog,1970
52.65,cog,1971
51.79,cog,1972
43.38,cog,1973
59.47,cog,1974
63.75,cog,1975
66.56,cog,1976
65.27,cog,1977
61.07,cog,1978
48.63,cog,1979
60.13,cog,1980
76.09,cog,1981
68.51,cog,1982
51.76,cog,1983
45.62,cog,1984
56.01,cog,1985
53.67,cog,1986
38.62,cog,1987
40.42,cog,1988
34.83,cog,1989
45.8,cog,1990
46.99,cog,1991
40.08,cog,1992
50.13,cog,1993
74.22,cog,1994
63.61,cog,1995
59.95,cog,1996
60.16,cog,1997
72.62,cog,1998
59.1,cog,1999
43.61,cog,2000
53.31,cog,2001
53.94,cog,2002
76.05,cog,2003
50.84,cog,2004
54.51,cog,2005
65.62,cog,2006
53.52,cog,2007
47.0,cog,2008
50.21,cog,2009
54.7,cog,2010
26.18,cri,1960
25.4,cri,1961
26.34,cri,1962
27.43,cri,1963
28.75,cri,1964
33.48,cri,1965
30.84,cri,1966
31.63,cri,1967
32.91,cri,1968
32.33,cri,1969
34.99,cri,1970
37.64,cri,1971
37.11,cri,1972
37.22,cri,1973
48.34,cri,1974
38.55,cri,1975
34.91,cri,1976
36.33,cri,1977
36.03,cri,1978
37.19,cri,1979
36.82,cri,1980
48.18,cri,1981
42.16,cri,1982
30.86,cri,1983
29.03,cri,1984
28.72,cri,1985
26.95,cri,1986
30.73,cri,1987
31.57,cri,1988
34.09,cri,1989
36.28,cri,1990
37.12,cri,1991
39.84,cri,1992
42.24,cri,1993
41.13,cri,1994
40.37,cri,1995
42.79,cri,1996
44.59,cri,1997
50.11,cri,1998
45.93,cri,1999
45.77,cri,2000
44.53,cri,2001
47.63,cri,2002
48.54,cri,2003
49.48,cri,2004
53.97,cri,2005
55.28,cri,2006
