internet_users_per_100_people,geo,time
58.91,fro,2003
66.53,fro,2004
67.9,fro,2005
69.36,fro,2006
75.98,fro,2007
75.57,fro,2008
75.18,fro,2009
75.2,fro,2010
80.73,fro,2011
0.0,fji,1990
0.006678,fji,1993
0.007907,fji,1994
0.009115,fji,1995
0.06444,fji,1996
0.2235,fji,1997
0.6332,fji,1998
0.9425,fji,1999
1.497,fji,2000
1.858,fji,2001
6.153,fji,2002
6.725,fji,2003
7.413,fji,2004
8.454,fji,2005
9.6,fji,2006
10.9,fji,2007
13.0,fji,2008
17.0,fji,2009
20.0,fji,2010
28.0,fji,2011
0.4011,fin,1990
1.396,fin,1991
1.884,fin,1992
2.566,fin,1993
4.913,fin,1994
13.9,fin,1995
16.78,fin,1996
19.46,fin,1997
25.44,fin,1998
32.27,fin,1999
37.23,fin,2000
43.08,fin,2001
62.39,fin,2002
69.19,fin,2003
72.36,fin,2004
74.46,fin,2005
79.65,fin,2006
80.81,fin,2007
83.72,fin,2008
82.53,fin,2009
86.91,fin,2010
89.33,fin,2011
0.05136,fra,1990
0.1363,fra,1991
0.2713,fra,1992
0.5741,fra,1993
0.8744,fra,1994
1.591,fra,1995
2.509,fra,1996
4.129,fra,1997
6.131,fra,1998
8.862,fra,1999
13.87,fra,2000
25.48,fra,2001
29.19,fra,2002
34.94,fra,2003
37.84,fra,2004
41.39,fra,2005
45.22,fra,2006
63.75,fra,2007
68.19,fra,2008
69.06,fra,2009
77.28,fra,2010
76.77,fra,2011
0.0,pyf,1990
0.09097,pyf,1996
0.2144,pyf,1997
1.316,pyf,1998
3.449,pyf,1999
6.357,pyf,2000
6.252,pyf,2001
8.2,pyf,2002
14.12,pyf,2003
17.88,pyf,2004
21.54,pyf,2005
25.11,pyf,2006
28.59,pyf,2007
33.87,pyf,2008
44.6,pyf,2009
49.0,pyf,2010
49.0,pyf,2011
0.0,gab,1990
0.0,gab,1996
0.048,gab,1997
0.1701,gab,1998
0.249,gab,1999
1.216,gab,2000
1.348,gab,2001
1.94,gab,2002
2.66,gab,2003
2.979,gab,2004
4.893,gab,2005
5.489,gab,2006
5.767,gab,2007
6.21,gab,2008
6.7,gab,2009
7.23,gab,2010
8.0,gab,2011
0.0,gmb,1990
0.009218,gmb,1995
0.03551,gmb,1996
0.05131,gmb,1997
0.2061,gmb,1998
0.7158,gmb,1999
0.9218,gmb,2000
1.337,gmb,2001
1.797,gmb,2002
2.437,gmb,2003
3.308,gmb,2004
3.799,gmb,2005
5.238,gmb,2006
6.205,gmb,2007
6.88,gmb,2008
7.63,gmb,2009
9.2,gmb,2010
10.87,gmb,2011
0.0,geo,1990
0.01268,geo,1995
0.04333,geo,1996
0.06621,geo,1997
0.1115,geo,1998
0.4493,geo,1999
0.5207,geo,2000
1.06,geo,2001
1.686,geo,2002
2.701,geo,2003
4.067,geo,2004
6.241,geo,2005
7.604,geo,2006
8.312,geo,2007
10.03,geo,2008
19.9,geo,2009
26.29,geo,2010
35.28,geo,2011
0.1254,deu,1990
0.2491,deu,1991
0.4334,deu,1992
0.4623,deu,1993
0.9232,deu,1994
1.843,deu,1995
3.065,deu,1996
6.735,deu,1997
9.914,deu,1998
20.91,deu,1999
30.27,deu,2000
31.66,deu,2001
48.79,deu,2002
55.87,deu,2003
64.74,deu,2004
68.77,deu,2005
72.3,deu,2006
75.39,deu,2007
78.35,deu,2008
79.49,deu,2009
82.53,deu,2010
83.44,deu,2011
0.0,gha,1990
0.0003479,gha,1995
0.005649,gha,1996
0.02754,gha,1997
0.03224,gha,1998
0.1049,gha,1999
0.1536,gha,2000
0.2,gha,2001
0.8303,gha,2002
1.193,gha,2003
1.717,gha,2004
1.831,gha,2005
2.723,gha,2006
3.85,gha,2007
4.27,gha,2008
5.44,gha,2009
9.55,gha,2010
14.11,gha,2011
0.0,grc,1990
0.04875,grc,1991
0.0482,grc,1992
0.191,grc,1993
0.3789,grc,1994
0.7523,grc,1995
1.401,grc,1996
1.858,grc,1997
3.237,grc,1998
6.912,grc,1999
