agriculture_percent_of_gdp,geo,time
33.57,civ,1969
31.87,civ,1970
30.88,civ,1971
29.8,civ,1972
31.05,civ,1973
25.47,civ,1974
28.24,civ,1975
24.48,civ,1976
24.27,civ,1977
25.88,civ,1978
26.4,civ,1979
25.88,civ,1980
26.53,civ,1981
24.13,civ,1982
21.88,civ,1983
24.13,civ,1984
26.54,civ,1985
28.46,civ,1986
29.18,civ,1987
32.04,civ,1988
32.72,civ,1989
32.5,civ,1990
33.29,civ,1991
34.01,civ,1992
28.22,civ,1993
25.26,civ,1994
24.73,civ,1995
24.6,civ,1996
23.32,civ,1997
24.12,civ,1998
21.99,civ,1999
24.22,civ,2000
24.7,civ,2001
25.65,civ,2002
25.56,civ,2003
23.18,civ,2004
22.82,civ,2005
22.92,civ,2006
23.85,civ,2007
24.98,civ,2008
24.66,civ,2009
22.8,civ,2010
24.31,civ,2011
10.9,hrv,1990
10.88,hrv,1991
14.84,hrv,1992
13.94,hrv,1993
11.54,hrv,1994
7.328,hrv,1995
7.082,hrv,1996
6.634,hrv,1997
6.9,hrv,1998
6.996,hrv,1999
6.468,hrv,2000
6.47,hrv,2001
6.368,hrv,2002
5.23,hrv,2003
5.586,hrv,2004
5.043,hrv,2005
5.179,hrv,2006
4.875,hrv,2007
5.179,hrv,2008
5.417,hrv,2009
5.515,hrv,2010
5.468,hrv,2011
13.33,cub,1970
13.33,cub,1971
13.33,cub,1972
13.33,cub,1973
13.34,cub,1974
13.32,cub,1975
13.32,cub,1976
13.33,cub,1977
13.35,cub,1978
13.37,cub,1979
13.24,cub,1980
13.3,cub,1981
13.37,cub,1982
13.46,cub,1983
13.49,cub,1984
12.54,cub,1985
13.64,cub,1986
13.7,cub,1987
13.88,cub,1988
13.68,cub,1989
13.99,cub,1990
13.31,cub,1991
13.13,cub,1992
10.27,cub,1993
9.585,cub,1994
8.767,cub,1995
9.675,cub,1996
9.641,cub,1997
8.57,cub,1998
8.002,cub,1999
8.411,cub,2000
8.533,cub,2001
7.934,cub,2002
7.797,cub,2003
7.098,cub,2004
5.623,cub,2005
4.484,cub,2006
4.97,cub,2007
4.959,cub,2008
5.046,cub,2009
4.992,cub,2010
15.72,cyp,1975
15.9,cyp,1976
13.21,cyp,1977
10.92,cyp,1978
10.24,cyp,1979
9.588,cyp,1980
9.258,cyp,1981
9.269,cyp,1982
7.9,cyp,1983
8.943,cyp,1984
7.489,cyp,1985
7.327,cyp,1986
7.432,cyp,1987
7.175,cyp,1988
6.93,cyp,1989
6.859,cyp,1990
6.191,cyp,1991
5.724,cyp,1992
5.613,cyp,1993
5.068,cyp,1994
5.066,cyp,1995
4.575,cyp,1996
4.039,cyp,1997
4.174,cyp,1998
3.974,cyp,1999
3.603,cyp,2000
3.752,cyp,2001
3.734,cyp,2002
3.413,cyp,2003
3.002,cyp,2004
2.788,cyp,2005
2.399,cyp,2006
2.215,cyp,2007
2.083,cyp,2008
7.827,dnk,1966
6.934,dnk,1967
6.583,dnk,1968
6.706,dnk,1969
5.655,dnk,1970
5.647,dnk,1971
5.913,dnk,1972
6.314,dnk,1973
6.199,dnk,1974
5.294,dnk,1975
5.034,dnk,1976
5.5,dnk,1977
