cell_phones_total,geo,time
0,cym,1983
0,cym,1984
0,cym,1985
0,cym,1986
0,cym,1990
559,cym,1991
988,cym,1992
1260,cym,1993
1813,cym,1994
2534,cym,1995
4109,cym,1997
5170,cym,1998
8410,cym,1999
10700,cym,2000
17000,cym,2001
19000,cym,2002
21040,cym,2003
33800,cym,2004
80940,cym,2005
92560,cym,2006
101500,cym,2007
98310,cym,2008
108700,cym,2009
99890,cym,2010
95120,cym,2011
0,caf,1965
0,caf,1970
0,caf,1975
0,caf,1976
0,caf,1977
0,caf,1978
0,caf,1979
0,caf,1980
0,caf,1981
0,caf,1982
0,caf,1983
0,caf,1984
0,caf,1985
0,caf,1986
0,caf,1987
0,caf,1988
0,caf,1989
0,caf,1990
0,caf,1991
0,caf,1992
0,caf,1993
0,caf,1994
44,caf,1995
1071,caf,1996
1370,caf,1997
1633,caf,1998
4162,caf,1999
4967,caf,2000
11000,caf,2001
12600,caf,2002
40000,caf,2003
60000,caf,2004
100000,caf,2005
110000,caf,2006
200000,caf,2007
250000,caf,2008
679700,caf,2009
979200,caf,2010
1124000,caf,2011
0,tcd,1965
0,tcd,1970
0,tcd,1975
0,tcd,1976
0,tcd,1977
0,tcd,1978
0,tcd,1979
0,tcd,1980
0,tcd,1981
0,tcd,1982
0,tcd,1983
0,tcd,1984
0,tcd,1985
0,tcd,1986
0,tcd,1987
0,tcd,1988
0,tcd,1989
0,tcd,1990
0,tcd,1991
0,tcd,1992
0,tcd,1993
0,tcd,1994
0,tcd,1995
0,tcd,1996
0,tcd,1997
0,tcd,1998
0,tcd,1999
5500,tcd,2000
22000,tcd,2001
34200,tcd,2002
65000,tcd,2003
123000,tcd,2004
210000,tcd,2005
466100,tcd,2006
918400,tcd,2007
1600000,tcd,2008
2281000,tcd,2009
2875000,tcd,2010
3666000,tcd,2011
0,chl,1965
0,chl,1970
0,chl,1975
0,chl,1976
0,chl,1977
0,chl,1978
0,chl,1979
0,chl,1980
0,chl,1981
0,chl,1982
0,chl,1983
0,chl,1984
0,chl,1985
0,chl,1986
0,chl,1987
0,chl,1988
4886,chl,1989
13920,chl,1990
36140,chl,1991
64440,chl,1992
85190,chl,1993
115700,chl,1994
197300,chl,1995
319500,chl,1996
409700,chl,1997
964200,chl,1998
2261000,chl,1999
3402000,chl,2000
5101000,chl,2001
6244000,chl,2002
7268000,chl,2003
9261000,chl,2004
10570000,chl,2005
12450000,chl,2006
13960000,chl,2007
14800000,chl,2008
16450000,chl,2009
19850000,chl,2010
22400000,chl,2011
0,chn,1965
0,chn,1970
0,chn,1975
0,chn,1976
0,chn,1977
0,chn,1978
0,chn,1979
0,chn,1980
0,chn,1981
0,chn,1982
0,chn,1983
0,chn,1984
0,chn,1985
0,chn,1986
700,chn,1987
3227,chn,1988
9805,chn,1989
18320,chn,1990
47540,chn,1991
176900,chn,1992
638000,chn,1993
1568000,chn,1994
3629000,chn,1995
6853000,chn,1996
13230000,chn,1997
23860000,chn,1998
43300000,chn,1999
85260000,chn,2000
144800000,chn,2001
206000000,chn,2002
270000000,chn,2003
334800000,chn,2004
393400000,chn,2005
461100000,chn,2006
547300000,chn,2007
641200000,chn,2008
747200000,chn,2009
859000000,chn,2010
986300000,chn,2011
0,col,1965
0,col,1970
0,col,1975
0,col,1976
0,col,1977
0,col,1978
0,col,1979
0,col,1980
0,col,1981
0,col,1982
0,col,1983
0,col,1984
0,col,1985
0,col,1986
0,col,1987
0,col,1988
0,col,1989
0,col,1990
0,col,1991
0,col,1992
0,col,1993
86800,col,1994
274600,col,1995
522900,col,1996
1265000,col,1997
1800000,col,1998
1967000,col,1999
2257000,col,2000
3265000,col,2001
4597000,col,2002
6186000,col,2003
10400000,col,2004
21850000,col,2005
29760000,col,2006
33940000,col,2007
41360000,col,2008
42160000,col,2009
44480000,col,2010
