improved_water_source_urban_access_percent,geo,time
93,irq,2005
92,irq,2006
92,irq,2007
91,irq,2008
91,irq,2009
91,irq,2010
100,irl,1990
100,irl,1991
100,irl,1992
100,irl,1993
100,irl,1994
100,irl,1995
100,irl,1996
100,irl,1997
100,irl,1998
100,irl,1999
100,irl,2000
100,irl,2001
100,irl,2002
100,irl,2003
100,irl,2004
100,irl,2005
100,irl,2006
100,irl,2007
100,irl,2008
100,irl,2009
100,irl,2010
100,isr,1990
100,isr,1991
100,isr,1992
100,isr,1993
100,isr,1994
100,isr,1995
100,isr,1996
100,isr,1997
100,isr,1998
100,isr,1999
100,isr,2000
100,isr,2001
100,isr,2002
100,isr,2003
100,isr,2004
100,isr,2005
100,isr,2006
100,isr,2007
100,isr,2008
100,isr,2009
100,isr,2010
100,ita,1990
100,ita,1991
100,ita,1992
100,ita,1993
100,ita,1994
100,ita,1995
100,ita,1996
100,ita,1997
100,ita,1998
100,ita,1999
100,ita,2000
100,ita,2001
100,ita,2002
100,ita,2003
100,ita,2004
100,ita,2005
100,ita,2006
100,ita,2007
100,ita,2008
100,ita,2009
100,ita,2010
98,jam,1990
98,jam,1991
98,jam,1992
98,jam,1993
98,jam,1994
98,jam,1995
98,jam,1996
98,jam,1997
98,jam,1998
98,jam,1999
98,jam,2000
98,jam,2001
98,jam,2002
98,jam,2003
98,jam,2004
98,jam,2005
98,jam,2006
98,jam,2007
98,jam,2008
98,jam,2009
98,jam,2010
100,jpn,1990
100,jpn,1991
100,jpn,1992
100,jpn,1993
100,jpn,1994
100,jpn,1995
100,jpn,1996
100,jpn,1997
100,jpn,1998
100,jpn,1999
100,jpn,2000
100,jpn,2001
100,jpn,2002
100,jpn,2003
100,jpn,2004
100,jpn,2005
100,jpn,2006
100,jpn,2007
100,jpn,2008
100,jpn,2009
100,jpn,2010
99,jor,1990
99,jor,1991
99,jor,1992
98,jor,1993
98,jor,1994
98,jor,1995
98,jor,1996
98,jor,1997
98,jor,1998
98,jor,1999
98,jor,2000
98,jor,2001
98,jor,2002
98,jor,2003
98,jor,2004
98,jor,2005
98,jor,2006
98,jor,2007
98,jor,2008
98,jor,2009
98,jor,2010
99,kaz,1990
99,kaz,1991
99,kaz,1992
99,kaz,1993
99,kaz,1994
99,kaz,1995
99,kaz,1996
99,kaz,1997
99,kaz,1998
99,kaz,1999
99,kaz,2000
99,kaz,2001
99,kaz,2002
99,kaz,2003
99,kaz,2004
99,kaz,2005
99,kaz,2006
99,kaz,2007
99,kaz,2008
99,kaz,2009
99,kaz,2010
92,ken,1990
92,ken,1991
91,ken,1992
91,ken,1993
90,ken,1994
89,ken,1995
89,ken,1996
88,ken,1997
88,ken,1998
87,ken,1999
87,ken,2000
86,ken,2001
86,ken,2002
85,ken,2003
85,ken,2004
84,ken,2005
84,ken,2006
83,ken,2007
83,ken,2008
82,ken,2009
82,ken,2010
76,kir,1990
76,kir,1991
