improved_sanitation_rural_access_percent,geo,time
87,mne,1998
87,mne,1999
87,mne,2000
87,mne,2001
87,mne,2002
87,mne,2003
87,mne,2004
87,mne,2005
87,mne,2006
87,mne,2007
87,mne,2008
87,mne,2009
87,mne,2010
27,mar,1990
29,mar,1991
30,mar,1992
32,mar,1993
33,mar,1994
35,mar,1995
36,mar,1996
38,mar,1997
40,mar,1998
41,mar,1999
43,mar,2000
44,mar,2001
46,mar,2002
47,mar,2003
49,mar,2004
50,mar,2005
52,mar,2006
52,mar,2007
52,mar,2008
52,mar,2009
52,mar,2010
4,moz,1990
4,moz,1991
4,moz,1992
4,moz,1993
4,moz,1994
4,moz,1995
4,moz,1996
4,moz,1997
4,moz,1998
4,moz,1999
4,moz,2000
4,moz,2001
4,moz,2002
4,moz,2003
5,moz,2004
5,moz,2005
5,moz,2006
5,moz,2007
5,moz,2008
5,moz,2009
5,moz,2010
47,mmr,1991
47,mmr,1992
47,mmr,1993
47,mmr,1994
47,mmr,1995
49,mmr,1996
50,mmr,1997
52,mmr,1998
54,mmr,1999
56,mmr,2000
57,mmr,2001
59,mmr,2002
61,mmr,2003
63,mmr,2004
65,mmr,2005
66,mmr,2006
68,mmr,2007
70,mmr,2008
72,mmr,2009
73,mmr,2010
9,nam,1990
9,nam,1991
10,nam,1992
10,nam,1993
11,nam,1994
11,nam,1995
12,nam,1996
12,nam,1997
12,nam,1998
13,nam,1999
13,nam,2000
14,nam,2001
14,nam,2002
14,nam,2003
15,nam,2004
15,nam,2005
16,nam,2006
16,nam,2007
16,nam,2008
17,nam,2009
17,nam,2010
7,npl,1990
8,npl,1991
9,npl,1992
10,npl,1993
11,npl,1994
12,npl,1995
13,npl,1996
14,npl,1997
15,npl,1998
16,npl,1999
17,npl,2000
18,npl,2001
19,npl,2002
20,npl,2003
21,npl,2004
22,npl,2005
23,npl,2006
24,npl,2007
25,npl,2008
26,npl,2009
27,npl,2010
100,nld,1990
100,nld,1991
100,nld,1992
100,nld,1993
100,nld,1994
100,nld,1995
100,nld,1996
100,nld,1997
100,nld,1998
100,nld,1999
100,nld,2000
100,nld,2001
100,nld,2002
100,nld,2003
100,nld,2004
100,nld,2005
100,nld,2006
100,nld,2007
100,nld,2008
100,nld,2009
100,nld,2010
88,nzl,1990
88,nzl,1991
88,nzl,1992
88,nzl,1993
88,nzl,1994
88,nzl,1995
88,nzl,1996
26,nic,1990
26,nic,1991
27,nic,1992
28,nic,1993
28,nic,1994
29,nic,1995
29,nic,1996
30,nic,1997
31,nic,1998
31,nic,1999
32,nic,2000
33,nic,2001
33,nic,2002
34,nic,2003
34,nic,2004
35,nic,2005
36,nic,2006
36,nic,2007
37,nic,2008
37,nic,2009
37,nic,2010
2,ner,1990
2,ner,1991
2,ner,1992
2,ner,1993
2,ner,1994
2,ner,1995
2,ner,1996
3,ner,1997
3,ner,1998
3,ner,1999
3,ner,2000
3,ner,2001
3,ner,2002
4,ner,2003
4,ner,2004
4,ner,2005
4,ner,2006
4,ner,2007
4,ner,2008
4,ner,2009
4,ner,2010
36,nga,1990
36,nga,1991
35,nga,1992
35,nga,1993
34,nga,1994
34,nga,1995
33,nga,1996
33,nga,1997
33,nga,1998
32,nga,1999
32,nga,2000
31,nga,2001
31,nga,2002
30,nga,2003
30,nga,2004
29,nga,2005
29,nga,2006
28,nga,2007
28,nga,2008
27,nga,2009
27,nga,2010
78,mnp,1990
80,mnp,1991
81,mnp,1992
83,mnp,1993
84,mnp,1994
86,mnp,1995
87,mnp,1996
89,mnp,1997
90,mnp,1998
91,mnp,1999
93,mnp,2000
94,mnp,2001
96,mnp,2002
96,mnp,2003
96,mnp,2004
96,mnp,2005
96,mnp,2006
96,mnp,2007
96,mnp,2008
96,mnp,2009
96,mnp,2010
100,nor,1990
100,nor,1991
100,nor,1992
100,nor,1993
100,nor,1994
100,nor,1995
100,nor,1996
100,nor,1997
100,nor,1998
100,nor,1999
100,nor,2000
100,nor,2001
100,nor,2002
100,nor,2003
100,nor,2004
100,nor,2005
100,nor,2006
100,nor,2007
100,nor,2008
100,nor,2009
100,nor,2010
55,omn,1990
55,omn,1991
55,omn,1992
55,omn,1993
55,omn,1994
58,omn,1995
61,omn,1996
63,omn,1997
66,omn,1998
68,omn,1999
71,omn,2000
74,omn,2001
76,omn,2002
79,omn,2003
81,omn,2004
84,omn,2005
87,omn,2006
89,omn,2007
92,omn,2008
95,omn,2009
95,omn,2010
7,pak,1990
8,pak,1991
10,pak,1992
11,pak,1993
12,pak,1994
14,pak,1995
15,pak,1996
16,pak,1997
18,pak,1998
19,pak,1999
20,pak,2000
22,pak,2001
23,pak,2002
24,pak,2003
26,pak,2004
27,pak,2005
28,pak,2006
30,pak,2007
31,pak,2008
32,pak,2009
34,pak,2010
36,plw,1990
36,plw,1991
36,plw,1992
36,plw,1993
41,plw,1994
45,plw,1995
50,plw,1996
54,plw,1997
59,plw,1998
64,plw,1999
68,plw,2000
73,plw,2001
78,plw,2002
82,plw,2003
87,plw,2004
91,plw,2005
96,plw,2006
100,plw,2007
100,plw,2008
100,plw,2009
100,plw,2010
40,pan,1990
41,pan,1991
41,pan,1992
42,pan,1993
43,pan,1994
43,pan,1995
44,pan,1996
45,pan,1997
46,pan,1998
46,pan,1999
47,pan,2000
48,pan,2001
48,pan,2002
49,pan,2003
50,pan,2004
51,pan,2005
51,pan,2006
51,pan,2007
51,pan,2008
51,pan,2009
42,png,1990
42,png,1991
42,png,1992
42,png,1993
42,png,1994
42,png,1995
42,png,1996
42,png,1997
42,png,1998
42,png,1999
42,png,2000
42,png,2001
42,png,2002
42,png,2003
42,png,2004
42,png,2005
42,png,2006
41,png,2007
41,png,2008
41,png,2009
41,png,2010
15,pry,1990
17,pry,1991
19,pry,1992
20,pry,1993
