geo,male_family_workers_percent_of_male_labour_force,time
tto,1.7,1995
tto,1.1,1996
tto,1.1,1997
tto,0.7,1998
tto,0.8,1999
tto,0.6,2000
tto,0.4,2001
tto,0.5,2002
tto,0.3,2003
tto,0.3,2004
tto,0.3,2005
tun,5.7,1989
tun,1.0,1994
tur,13.5,1988
tur,13.3,1989
tur,13.0,1990
tur,15.0,1991
tur,14.7,1992
tur,14.5,1993
tur,14.3,1994
tur,13.6,1995
tur,13.4,1996
tur,12.6,1997
tur,11.8,1998
tur,12.5,1999
tur,10.4,2000
tur,10.8,2001
tur,9.3,2002
tur,8.2,2003
tur,8.9,2004
tur,7.0,2005
tur,6.0,2006
tur,5.6,2007
tuv,0.2,2002
uga,19.9,2002
uga,10.3,2003
ukr,0.2,1995
ukr,0.1,1996
ukr,0.2,1997
ukr,0.1,1998
ukr,0.7,1999
ukr,0.8,2000
ukr,0.9,2001
ukr,1.5,2002
ukr,1.1,2003
ukr,0.5,2004
ukr,0.5,2005
ukr,0.5,2006
ukr,0.4,2007
gbr,0.1,1983
gbr,1.5,1984
gbr,1.8,1985
gbr,2.0,1986
gbr,2.3,1987
gbr,2.3,1988
gbr,2.1,1989
gbr,2.0,1990
gbr,1.8,1991
gbr,0.4,1992
gbr,0.3,1993
gbr,0.3,1994
gbr,0.3,1995
gbr,0.3,1996
gbr,0.3,1997
gbr,0.2,1998
gbr,0.2,1999
gbr,0.2,2000
gbr,0.2,2001
gbr,0.2,2002
gbr,0.2,2003
gbr,0.3,2004
gbr,0.2,2005
gbr,0.2,2006
