geo,aged_15plus_labour_force_participation_rate_percent,time
gmb,77.4,1999
gmb,77.4,2000
gmb,77.3,2001
gmb,77.2,2002
gmb,77.2,2003
gmb,77.1,2004
gmb,77.0,2005
gmb,76.9,2006
gmb,76.9,2007
geo,72.6,1980
geo,72.5,1981
geo,72.7,1982
geo,72.8,1983
geo,72.8,1984
geo,72.9,1985
geo,73.4,1986
geo,73.5,1987
geo,73.4,1988
geo,73.7,1989
geo,74.1,1990
geo,68.0,1991
geo,66.9,1992
geo,65.0,1993
geo,64.3,1994
geo,64.8,1995
geo,65.4,1996
geo,65.7,1997
geo,65.7,1998
geo,65.9,1999
geo,63.7,2000
geo,66.0,2001
geo,63.9,2002
geo,65.2,2003
geo,63.9,2004
geo,63.7,2005
geo,63.8,2006
geo,64.1,2007
deu,55.5,1980
deu,55.5,1981
deu,55.7,1982
deu,55.6,1983
deu,55.9,1984
deu,56.5,1985
deu,56.8,1986
deu,57.1,1987
deu,57.5,1988
deu,57.5,1989
deu,58.9,1990
deu,59.5,1991
deu,58.9,1992
deu,58.6,1993
deu,58.3,1994
deu,58.2,1995
deu,58.3,1996
deu,58.5,1997
deu,58.8,1998
deu,58.5,1999
deu,58.2,2000
deu,58.2,2001
deu,57.9,2002
deu,57.3,2003
deu,57.9,2004
deu,58.4,2005
deu,58.9,2006
deu,58.5,2007
gha,74.0,1980
gha,74.1,1981
gha,74.2,1982
gha,74.3,1983
gha,74.2,1984
gha,74.1,1985
gha,74.0,1986
gha,73.9,1987
gha,73.8,1988
gha,73.7,1989
gha,73.6,1990
gha,73.4,1991
gha,73.3,1992
gha,73.5,1993
gha,73.8,1994
gha,74.1,1995
gha,74.3,1996
gha,74.6,1997
gha,74.9,1998
gha,75.2,1999
gha,74.3,2000
gha,74.0,2001
gha,73.7,2002
gha,73.3,2003
gha,73.0,2004
gha,72.7,2005
gha,72.3,2006
gha,72.5,2007
grc,52.1,1980
grc,52.3,1981
grc,52.1,1982
grc,52.1,1983
grc,51.9,1984
grc,51.8,1985
grc,51.4,1986
grc,50.8,1987
grc,51.5,1988
grc,51.3,1989
grc,51.0,1990
grc,49.6,1991
grc,50.3,1992
grc,50.3,1993
grc,50.7,1994
grc,51.1,1995
grc,51.8,1996
grc,51.6,1997
grc,52.4,1998
grc,52.7,1999
grc,52.6,2000
grc,51.8,2001
grc,52.3,2002
grc,52.7,2003
grc,53.5,2004
grc,53.4,2005
grc,53.7,2006
grc,54.0,2007
glp,57.9,1980
glp,58.1,1981
glp,58.1,1982
glp,58.9,1983
glp,59.7,1984
glp,60.4,1985
glp,61.1,1986
glp,60.8,1987
glp,60.7,1988
glp,60.5,1989
glp,60.5,1990
glp,60.5,1991
glp,60.7,1992
glp,60.8,1993
glp,61.0,1994
glp,61.1,1995
glp,61.0,1996
glp,60.9,1997
glp,60.8,1998
glp,60.6,1999
glp,60.7,2000
glp,60.7,2001
glp,60.6,2002
glp,60.6,2003
glp,60.4,2004
glp,60.3,2005
glp,60.2,2006
glp,59.8,2007
gum,62.6,1980
gum,62.6,1981
gum,62.7,1982
gum,62.9,1983
gum,64.0,1984
gum,64.9,1985
gum,65.8,1986
gum,66.1,1987
gum,66.4,1988
gum,66.5,1989
gum,66.8,1990
gum,66.8,1991
gum,66.8,1992
gum,67.0,1993
gum,66.9,1994
gum,66.9,1995
gum,66.9,1996
gum,67.0,1997
gum,66.9,1998
gum,66.8,1999
gum,66.9,2000
gum,67.0,2001
