geo,family_workers_percent_of_labour_force,time
esp,4.5,1992
esp,4.4,1993
esp,4.1,1994
esp,3.7,1995
esp,3.4,1996
esp,2.9,1997
esp,2.8,1998
esp,2.3,1999
esp,2.1,2000
esp,1.9,2001
esp,1.7,2002
esp,1.6,2003
esp,1.4,2004
esp,1.6,2005
esp,1.3,2006
esp,1.1,2007
lka,9.5,1997
lka,13.6,1998
lka,12.2,1999
lka,13.1,2000
lka,10.5,2001
lka,12.1,2002
lka,9.5,2003
lka,9.4,2004
lka,8.1,2005
lka,10.5,2006
lka,10.3,2007
sur,1.4,1993
sur,0.7,1994
sur,0.9,1995
sur,1.9,1996
sur,1.9,1997
sur,1.2,1998
swz,1.1,1997
swe,0.5,1980
swe,0.5,1981
swe,0.5,1982
swe,0.4,1983
swe,0.4,1984
swe,0.3,1985
swe,0.2,1986
swe,0.4,1987
swe,0.4,1988
swe,0.3,1989
swe,0.3,1990
swe,0.3,1991
swe,0.4,1992
swe,0.5,1993
swe,0.5,1994
swe,0.5,1995
swe,0.4,1996
swe,0.4,1997
swe,0.4,1998
swe,0.3,1999
swe,0.3,2000
swe,0.3,2001
swe,0.3,2002
swe,0.3,2003
swe,0.3,2004
swe,0.2,2005
swe,0.2,2006
swe,0.3,2007
che,3.7,1991
che,3.5,1992
che,3.6,1993
che,3.5,1994
che,3.2,1995
che,3.1,1996
che,2.9,1997
che,2.8,1998
che,2.8,1999
che,2.5,2000
che,2.6,2001
che,2.6,2002
che,2.3,2003
che,2.0,2004
che,2.0,2005
che,2.2,2006
che,2.4,2007
syr,16.5,2001
twn,10.7,1980
twn,10.4,1981
twn,10.5,1982
twn,11.1,1983
twn,10.8,1984
twn,10.8,1985
twn,10.9,1986
twn,9.9,1987
twn,9.5,1988
twn,9.2,1989
twn,9.0,1990
twn,9.1,1991
twn,8.9,1992
twn,8.5,1993
