geo,time,sg_gdp_p_cap_const_ppp2011_dollar
gab,1806,391.00
gbr,1806,3377.00
geo,1806,543.00
gha,1806,699.00
gin,1806,451.00
gmb,1806,816.00
gnb,1806,778.00
gnq,1806,358.00
grc,1806,1386.00
grd,1806,959.00
gtm,1806,858.00
guy,1806,1215.00
hnd,1806,675.00
hti,1806,634.00
hun,1806,1250.00
idn,1806,995.00
ind,1806,1052.00
irl,1806,1448.00
irn,1806,978.00
irq,1806,971.00
isl,1806,927.00
isr,1806,880.00
ita,1806,2412.00
jam,1806,1171.00
jor,1806,977.00
jpn,1806,1059.00
kaz,1806,1148.00
ken,1806,870.00
kgz,1806,509.00
khm,1806,904.00
kir,1806,554.00
kor,1806,572.00
kwt,1806,1122.00
lao,1806,865.00
lbn,1806,1087.00
lbr,1806,798.00
lby,1806,1051.00
lca,1806,875.00
lka,1806,899.00
lso,1806,394.00
ltu,1806,1279.00
lux,1806,1454.00
lva,1806,756.00
mar,1806,715.00
mda,1806,622.00
mdg,1806,573.00
mdv,1806,843.00
mex,1806,1380.00
mkd,1806,691.00
mli,1806,603.00
mlt,1806,782.00
mmr,1806,841.00
mne,1806,1058.00
mng,1806,593.00
moz,1806,392.00
mrt,1806,528.00
mus,1806,941.00
mwi,1806,350.00
mys,1806,998.00
nam,1806,541.00
ner,1806,446.00
nga,1806,860.00
nic,1806,974.00
nld,1806,4270.00
nor,1806,1290.00
npl,1806,655.00
nzl,1806,659.00
omn,1806,916.00
pak,1806,1020.00
pan,1806,848.00
per,1806,1205.00
phl,1806,963.00
png,1806,547.00
pol,1806,1241.00
prk,1806,575.00
prt,1806,1686.00
pry,1806,836.00
pse,1806,1222.00
qat,1806,1122.00
rou,1806,816.00
rus,1806,1440.00
rwa,1806,434.00
sau,1806,849.00
sdn,1806,519.00
sds,1806,508.00
sen,1806,498.00
sgp,1806,1022.00
slb,1806,363.00
sle,1806,735.00
slv,1806,975.00
som,1806,698.00
srb,1806,1359.00
stp,1806,860.00
sur,1806,1638.00
svk,1806,1428.00
svn,1806,1410.00
swe,1806,1462.00
swz,1806,490.00
syc,1806,811.00
syr,1806,1082.00
tcd,1806,418.00
tgo,1806,683.00
tha,1806,932.00
tjk,1806,558.00
tkm,1806,950.00
tls,1806,527.00
ton,1806,663.00
tto,1806,1231.00
tun,1806,716.00
tur,1806,1222.00
tza,1806,563.00
uga,1806,464.00
ukr,1806,768.00
ury,1806,1759.00
usa,1806,2252.00
uzb,1806,503.00
vct,1806,839.00
ven,1806,683.00
vnm,1806,862.00
vut,1806,586.00
wsm,1806,1401.00
yem,1806,892.00
zaf,1806,1481.00
zmb,1806,673.00
zwe,1806,875.00
afg,1807,603.00
ago,1807,637.00
alb,1807,668.00
are,1807,1024.00
arg,1807,1509.00
arm,1807,514.00
atg,1807,758.00
aus,1807,828.00
aut,1807,1901.00
aze,1807,776.00
bdi,1807,421.00
bel,1807,2415.00
ben,1807,597.00
bfa,1807,480.00
bgd,1807,876.00
bgr,1807,1090.00
bhr,1807,1273.00
bhs,1807,1447.00
bih,1807,669.00
blr,1807,610.00
blz,1807,579.00
bol,1807,854.00
bra,1807,1110.00
brb,1807,914.00
brn,1807,1513.00
btn,1807,630.00
bwa,1807,398.00
caf,1807,425.00
can,1807,1373.00
che,1807,2704.00
