basomrade,year,mean_income_aged_lt_20_male
4250500_karsta_glesbygd,2005,272458.85
4250500_karsta_glesbygd,2006,270192.67
4250500_karsta_glesbygd,2007,276141.43
4250500_karsta_glesbygd,2008,298977.31
4250500_karsta_glesbygd,2009,305128.35
4250500_karsta_glesbygd,2010,307100.32
4250500_karsta_glesbygd,2011,312197.13
4250500_karsta_glesbygd,2012,321748.5
4250500_karsta_glesbygd,2013,319735.6
4250500_karsta_glesbygd,2014,328833.22
4260500_vada_glesbygd,2000,220495.32
4260500_vada_glesbygd,2001,229977.6
4260500_vada_glesbygd,2002,230108.29
4260500_vada_glesbygd,2003,235585.95
4260500_vada_glesbygd,2004,229463.22
4260500_vada_glesbygd,2005,244157.94
4260500_vada_glesbygd,2006,243329.21
4260500_vada_glesbygd,2007,255175.45
4260500_vada_glesbygd,2008,273575.79
4260500_vada_glesbygd,2009,305648.4
4260500_vada_glesbygd,2010,288859.01
4260500_vada_glesbygd,2011,304688.9
4260500_vada_glesbygd,2012,325719.61
4260500_vada_glesbygd,2013,333233.08
4260500_vada_glesbygd,2014,332387.7
4270100_karby,2000,257968.32
4270100_karby,2001,274330.59
4270100_karby,2002,280880.04
4270100_karby,2003,292148.3
4270100_karby,2004,295165.24
4270100_karby,2005,282418.33
