basomrade,year,immigration_surplus_female
4260500_vada_glesbygd,2007,2
4260500_vada_glesbygd,2008,-3
4260500_vada_glesbygd,2009,-3
4260500_vada_glesbygd,2010,1
4260500_vada_glesbygd,2011,7
4260500_vada_glesbygd,2012,-2
4260500_vada_glesbygd,2013,2
4260500_vada_glesbygd,2014,-1
4270100_karby,2000,-2
4270100_karby,2001,6
4270100_karby,2002,-22
4270100_karby,2003,-7
4270100_karby,2004,-2
4270100_karby,2005,-17
4270100_karby,2006,4
4270100_karby,2007,18
4270100_karby,2008,-12
4270100_karby,2009,-18
4270100_karby,2010,-5
4270100_karby,2011,-5
4270100_karby,2012,-4
4270100_karby,2013,0
4270100_karby,2014,-7
4270200_brottby,2000,5
4270200_brottby,2001,-9
4270200_brottby,2002,0
4270200_brottby,2003,-1
4270200_brottby,2004,-2
4270200_brottby,2005,-2
4270200_brottby,2006,-1
4270200_brottby,2007,4
4270200_brottby,2008,-3
4270200_brottby,2009,-4
4270200_brottby,2010,3
4270200_brottby,2011,-4
4270200_brottby,2012,-4
4270200_brottby,2013,0
4270200_brottby,2014,-1
4270501_ovr_osseby_garns_glesbygd,2000,5
4270501_ovr_osseby_garns_glesbygd,2001,10
4270501_ovr_osseby_garns_glesbygd,2002,15
4270501_ovr_osseby_garns_glesbygd,2003,9
4270501_ovr_osseby_garns_glesbygd,2004,20
4270501_ovr_osseby_garns_glesbygd,2005,8
4270501_ovr_osseby_garns_glesbygd,2006,-5
4270501_ovr_osseby_garns_glesbygd,2007,-3
4270501_ovr_osseby_garns_glesbygd,2008,25
4270501_ovr_osseby_garns_glesbygd,2009,25
4270501_ovr_osseby_garns_glesbygd,2010,-1
4270501_ovr_osseby_garns_glesbygd,2011,2
4270501_ovr_osseby_garns_glesbygd,2012,13
4270501_ovr_osseby_garns_glesbygd,2013,0
4270501_ovr_osseby_garns_glesbygd,2014,-8
4270502_algeby_garns_ekskogen,2000,5
4270502_algeby_garns_ekskogen,2001,1
4270502_algeby_garns_ekskogen,2002,-1
4270502_algeby_garns_ekskogen,2003,1
4270502_algeby_garns_ekskogen,2004,-5
4270502_algeby_garns_ekskogen,2005,2
4270502_algeby_garns_ekskogen,2006,1
4270502_algeby_garns_ekskogen,2007,1
4270502_algeby_garns_ekskogen,2008,4
4270502_algeby_garns_ekskogen,2009,-9
4270502_algeby_garns_ekskogen,2010,-4
4270502_algeby_garns_ekskogen,2011,6
4270502_algeby_garns_ekskogen,2012,3
4270502_algeby_garns_ekskogen,2013,6
4270502_algeby_garns_ekskogen,2014,11
4280000_angarns_forsamling,2000,-13
4280000_angarns_forsamling,2001,3
4280000_angarns_forsamling,2002,0
4280000_angarns_forsamling,2003,-4
4280000_angarns_forsamling,2004,7
4280000_angarns_forsamling,2005,4
4280000_angarns_forsamling,2006,2
4280000_angarns_forsamling,2007,11
4280000_angarns_forsamling,2008,-4
4280000_angarns_forsamling,2009,8
4280000_angarns_forsamling,2010,-7
4280000_angarns_forsamling,2011,3
4280000_angarns_forsamling,2012,0
4280000_angarns_forsamling,2013,2
4280000_angarns_forsamling,2014,-6
4440110_ljustero,2000,3
4440110_ljustero,2001,11
4440110_ljustero,2002,16
4440110_ljustero,2003,10
4440110_ljustero,2004,9
4440110_ljustero,2005,-5
4440110_ljustero,2006,25
4440110_ljustero,2007,18
4440110_ljustero,2008,10
4440110_ljustero,2009,-13
4440110_ljustero,2010,-15
4440110_ljustero,2011,11
4440110_ljustero,2012,-20
4440110_ljustero,2013,11
4440110_ljustero,2014,0
4440120_ingmarso_m_fl_oar,2000,3
4440120_ingmarso_m_fl_oar,2001,4
4440120_ingmarso_m_fl_oar,2002,-6
4440120_ingmarso_m_fl_oar,2003,5
